ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,combined_score
LIN,489.29,482.44,1.42,OPTIMAL,95,1.48,0.9,492.76,-0.7,,,,0.051,22.1,58.5,191.0,clean,79.1,CAUTION,-4.2,2,Sustained Uptrend,-0.16,6.25,25.34,XLB,sector,Sector,34.0,False,False,77.5
DBA,26.77,26.03,2.83,OPTIMAL,95,1.48,0.9,26.39,1.42,,,,0.814,46.5,56.9,200.0,clean,80.8,HEALTHY,-0.4,1,Basing,1.34,4.02,1.38,DBA,commodity,Commodity,21.0,False,False,77.4
APD,288.75,280.09,3.09,OPTIMAL,95,1.48,0.9,276.53,4.42,,,,0.274,-43.0,54.4,208.0,clean,83.5,HEALTHY,-2.6,2,Sustained Uptrend,4.49,-0.7,25.13,XLB,sector,Sector,34.0,False,False,77.3
REMX,94.14,91.99,2.34,OPTIMAL,95,1.48,0.9,96.4,-2.35,,,,0.344,102.7,67.9,137.0,clean,67.3,CAUTION,-9.2,3,Parabolic,0.79,6.09,27.01,IAU,index,Index,10.0,False,False,77.2
NOC,737.01,717.91,2.66,OPTIMAL,95,1.48,0.9,746.18,-1.23,,,,0.566,100.6,64.4,162.0,clean,70.7,CAUTION,-4.8,3,Parabolic,-0.41,7.59,33.85,XLI,equity,Equity,11.0,False,False,77.0
CLNFF,57.95,54.52,6.29,OPTIMAL,90,1.5,1.11,60.56,-4.31,,,,0.741,263.1,77.6,78.0,stalling,58.9,CAUTION,-6.3,3,Parabolic,-6.23,17.07,39.54,,equity,Equity,,False,False,76.3
NTR,84.5,72.74,16.16,FAIR,65,1.67,3.44,76.45,10.52,ELEVATED,1.51,0.6,0.713,150.8,80.8,53.0,overextended,84.3,HEALTHY,-1.0,3,Parabolic,13.55,18.77,44.04,XLE,sector,Sector,34.0,False,False,76.3
CAMT,156.9,155.75,0.74,OPTIMAL,95,1.48,0.9,161.35,-2.76,,,,0.022,25.3,52.9,211.0,clean,80.5,HEALTHY,-10.1,3,Parabolic,-4.93,1.88,31.63,XLK,equity,Equity,16.0,False,False,75.9
PSX,177.04,157.16,12.65,GOOD,60,1.52,-0.9,164.32,7.74,,,,0.508,112.8,78.4,71.0,overextended,91.5,HEALTHY,-0.4,2,Sustained Uptrend,6.37,12.54,26.57,XLE,commodity,Commodity,9.0,False,False,75.9
VRTX,481.17,475.08,1.28,OPTIMAL,95,1.48,0.9,478.51,0.56,,,,0.027,17.1,56.1,204.0,clean,76.7,CAUTION,-5.3,2,Sustained Uptrend,4.42,3.82,10.11,XLV,equity,Equity,7.0,False,False,75.9
DBC,28.66,25.12,14.08,GOOD,60,1.52,-0.9,26.82,6.85,,,,0.908,223.6,78.0,76.0,overextended,91.1,HEALTHY,-0.6,2,Sustained Uptrend,8.07,18.72,24.66,IAU,commodity,Commodity,9.0,False,False,75.6
PDBC,17.09,14.94,14.34,GOOD,60,1.52,-0.9,15.97,6.96,,,,0.907,227.2,77.8,77.0,clean,91.1,HEALTHY,-0.7,2,Sustained Uptrend,8.13,19.14,24.89,IAU,commodity,Commodity,9.0,False,False,75.6
AEIS,307.94,305.47,0.81,OPTIMAL,95,1.48,0.9,317.19,-2.92,,,,0.038,-32.7,57.0,198.0,clean,74.1,CAUTION,-12.0,3,Parabolic,-1.12,10.36,39.17,XLI,equity,Equity,16.0,False,False,75.4
MOS,31.92,28.36,12.54,GOOD,80,1.52,1.96,27.45,16.27,EXIT WATCH,1.59,0.49,0.256,-121.1,66.0,152.0,overextended,80.9,HEALTHY,-1.0,2,Sustained Uptrend,21.46,5.98,34.06,XLE,sector,Sector,34.0,False,False,75.4
ROST,211.59,200.48,5.54,OPTIMAL,90,1.5,1.11,209.63,0.94,,,,0.793,123.6,74.0,95.0,clean,60.0,CAUTION,-2.4,3,Parabolic,-1.51,10.02,19.53,HYG,equity,Equity,37.0,False,False,75.4
XEL,81.0,80.32,0.84,OPTIMAL,95,1.48,0.9,82.52,-1.84,,,,0.238,40.0,66.4,147.0,clean,62.7,CAUTION,-3.8,1,Basing,-1.68,4.52,6.97,XLU,equity,Equity,2.0,False,False,75.3
XOP,168.44,151.37,11.28,GOOD,60,1.52,-0.9,161.46,4.33,,,,0.844,173.0,76.9,80.0,clean,91.4,HEALTHY,-0.2,2,Sustained Uptrend,2.82,15.67,25.19,XLE,commodity,Commodity,9.0,False,False,75.3
HWM,243.63,243.03,0.25,OPTIMAL,95,1.48,0.9,255.35,-4.59,,,,0.084,36.6,60.8,180.0,stalling,68.8,CAUTION,-8.9,3,Parabolic,-3.47,8.54,27.32,XLI,equity,Equity,11.0,False,False,75.2
KGS,54.64,51.36,6.38,OPTIMAL,90,1.5,1.11,56.3,-2.95,,,,0.705,187.5,60.0,185.0,clean,74.4,CAUTION,-6.6,3,Parabolic,-3.12,6.95,47.72,,commodity,Commodity,9.0,False,False,74.8
CE,60.09,52.8,13.82,GOOD,80,1.52,1.96,51.77,16.08,EXIT WATCH,1.59,0.49,0.272,-140.6,67.6,141.0,overextended,76.8,CAUTION,-3.0,3,Parabolic,14.35,3.03,49.48,XLB,sector,Sector,34.0,False,False,74.7
TERN,44.32,40.16,10.35,GOOD,75,1.52,1.24,43.31,2.34,,,,0.906,217.3,73.2,99.0,clean,76.1,CAUTION,-8.2,3,Parabolic,5.52,16.05,4.11,XLV,equity,Equity,7.0,False,False,74.7
GRMN,237.48,229.47,3.49,OPTIMAL,95,1.48,0.9,245.17,-3.14,,,,0.312,155.3,47.8,219.0,clean,81.9,HEALTHY,-7.5,2,Sustained Uptrend,-1.12,13.95,17.42,SPY,sector,Sector,34.0,False,False,74.5
TGT,116.38,115.21,1.01,OPTIMAL,95,1.48,0.9,118.68,-1.94,,,,0.44,65.6,63.6,167.0,clean,63.4,CAUTION,-7.6,3,Parabolic,-3.29,2.78,24.31,XLF,equity,Equity,2.0,False,False,74.5
FET,55.26,53.54,3.21,OPTIMAL,95,1.48,0.9,57.92,-4.61,,,,0.425,188.6,66.2,150.0,stalling,59.1,CAUTION,-13.1,3,Parabolic,-4.24,17.31,56.53,XLE,bond,Bond,20.0,False,False,74.2
HALFF,195.14,194.85,0.15,OPTIMAL,95,1.48,0.9,200.3,-2.58,,,,0.101,28.5,69.3,126.0,clean,55.6,CAUTION,-4.8,3,Parabolic,-2.09,2.71,20.4,,commodity,Commodity,21.0,False,False,74.2
KR,75.73,68.79,10.08,GOOD,75,1.52,1.24,71.38,6.09,,,,0.373,88.7,59.8,186.0,clean,89.8,HEALTHY,-1.1,2,Sustained Uptrend,5.77,11.38,20.4,XLP,equity,Equity,2.0,False,False,74.1
TIGO,71.01,67.7,4.89,OPTIMAL,95,1.48,0.9,71.98,-1.34,,,,0.651,160.9,65.0,157.0,clean,60.0,CAUTION,-5.6,3,Parabolic,-0.06,8.1,38.88,XLRE,index,Index,1.0,False,False,74.0
VXZ,58.34,54.93,6.22,OPTIMAL,90,1.5,1.11,56.66,2.97,,,,0.794,98.8,61.2,178.0,clean,70.2,CAUTION,-1.5,1,Basing,3.98,9.04,5.41,,equity,Equity,12.0,False,False,74.0
KEYS,286.28,260.23,10.01,GOOD,75,1.52,1.24,292.18,-2.02,,,,0.513,325.5,69.6,123.0,clean,77.3,CAUTION,-9.7,3,Parabolic,0.62,21.82,36.03,XLI,equity,Equity,16.0,False,False,73.8
TSAT,34.19,30.18,13.28,GOOD,75,1.52,1.24,33.4,2.38,,,,0.787,337.6,65.7,153.0,clean,81.7,HEALTHY,-8.4,2,Sustained Uptrend,3.01,21.8,5.59,XLK,equity,Equity,18.0,False,False,73.8
