ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
XLI,Industrials,3.1,10,bullish,2.2,0.02,-2.52,-6.64,5.2,-0.07,-1.82,-1.03,-0.17,,,100.0,,,100.0,,,100.0
XLK,Technology,3.4,10,bullish,1.09,-0.86,-2.61,-2.53,-5.78,-0.98,-0.74,-0.88,-0.42,,,100.0,,,100.0,,,100.0
XLP,Cons Staples,3.2,10,bullish,-0.06,-1.69,-3.96,-9.47,4.31,0.56,-2.0,-1.57,-0.86,,,100.0,,,100.0,,,100.0
XLRE,Real Estate,3.5,10,bullish,-0.46,-3.84,-4.73,-7.6,0.53,0.09,-2.0,-1.78,-1.76,,,40.0,,,40.0,,,40.0
XLU,Utilities,3.6,10,bullish,2.11,-2.44,-1.26,-3.41,7.35,0.9,-1.26,-0.74,-1.32,,,100.0,,,100.0,,,100.0
XLV,Healthcare,2.7,10,bullish,0.64,-0.6,-4.31,-7.35,-5.82,-1.07,-1.93,-1.49,-0.26,,,100.0,,,100.0,,,100.0
XLY,Cons Discret,3.1,10,bullish,2.63,0.0,-3.12,-5.28,-9.62,-1.29,-1.21,-1.01,-0.08,,,100.0,,,100.0,,,100.0
XME,XME,3.2,10,bullish,6.54,0.44,-5.67,-9.21,1.14,-1.21,-1.56,-1.26,-0.18,,,72.0,,,72.0,,,72.0
XOP,Oil & Gas Exp,4.4,10,bullish,2.29,4.51,10.01,21.14,44.65,2.0,2.0,1.39,0.86,,,72.0,,,72.0,,,72.0
XPH,XPH,3.2,10,bullish,2.45,1.77,-2.67,-6.93,-5.39,-1.12,-1.52,-0.83,0.45,,,72.0,,,72.0,,,72.0
XRT,Retail,0.0,10,bearish,0.97,0.53,-2.85,-9.12,-8.88,-1.2,-1.77,-0.87,0.07,,,72.0,,,72.0,,,72.0
XSOE,XSOE,3.6,10,bullish,3.14,-0.17,-2.49,-8.08,4.92,-0.53,-2.0,-1.04,-0.27,,,41.0,,,41.0,,,41.0
