ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
EQNR,XLE,141.0,69.9,110.0,79.5,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Energy
XLI,XLI,142.0,69.8,,,,,,,,3.2,,none,2,"['ranker', 'secrot']",
JBHT,XLI,146.0,69.2,71.0,82.3,,,,,,,4.0,none,2,"['ranker', 'ranker_long']",Industrials
AMGN,XLV,148.0,69.1,56.0,83.3,,,,,,,2.0,none,2,"['ranker', 'ranker_long']",Healthcare
GDX,--,,,47.0,84.4,,,,,,3.3,,none,2,"['ranker_long', 'secrot']",
AU,--,,,51.0,84.0,,,,,,,5.0,bearish,2,"['ranker_long', 'stock_secrot']",Basic Materials
GDXJ,--,,,52.0,83.9,,,,,,3.4,,none,2,"['ranker_long', 'secrot']",
RGLD,--,,,62.0,82.8,,,,,,,5.0,bearish,2,"['ranker_long', 'stock_secrot']",Basic Materials
RING,--,,,66.0,82.5,,,,,,4.0,,none,2,"['ranker_long', 'secrot']",
GOEX,--,,,66.0,82.5,,,,,,3.4,,none,2,"['ranker_long', 'secrot']",
SGDM,--,,,78.0,81.6,,,,,,4.1,,none,2,"['ranker_long', 'secrot']",
BNO,--,,,78.0,81.6,,,,,,0.7,,none,2,"['ranker_long', 'secrot']",
SIL,--,,,88.0,81.1,,,,,,3.7,,none,2,"['ranker_long', 'secrot']",
WT,--,,,94.0,80.8,,,,,,6.6,,none,2,"['ranker_long', 'secrot']",
BG,--,,,96.0,80.5,,,,,,,6.0,bearish,2,"['ranker_long', 'stock_secrot']",Consumer Defensive
PAAS,--,,,105.0,80.0,,,,,,,7.0,bearish,2,"['ranker_long', 'stock_secrot']",Basic Materials
SCCO,--,,,108.0,79.8,,,,,,,6.0,bearish,2,"['ranker_long', 'stock_secrot']",Basic Materials
SILJ,--,,,112.0,79.4,,,,,,3.8,,none,2,"['ranker_long', 'secrot']",
EWY,--,,,112.0,79.4,,,,,,5.0,,none,2,"['ranker_long', 'secrot']",
GUNR,--,,,118.0,78.9,,,,,,3.1,,none,2,"['ranker_long', 'secrot']",
CDE,--,,,118.0,78.9,,,,,,,7.0,bearish,2,"['ranker_long', 'stock_secrot']",Basic Materials
GNR,--,,,122.0,78.8,,,,,,3.0,,none,2,"['ranker_long', 'secrot']",
IHE,--,,,124.0,78.6,,,,,,3.6,,none,2,"['ranker_long', 'secrot']",
SCHD,--,,,134.0,78.3,,,,,,0.5,,none,2,"['ranker_long', 'secrot']",
SGDJ,--,,,139.0,78.1,,,,,,4.1,,none,2,"['ranker_long', 'secrot']",
FTAI,--,,,145.0,78.0,,,,,,,7.0,none,2,"['ranker_long', 'stock_secrot']",Industrials
XLP,--,,,150.0,77.8,,,,,,3.4,,none,2,"['ranker_long', 'secrot']",
PSLV,--,,,,,,,,,,3.8,7.0,none,2,"['secrot', 'stock_secrot']",Financial Services
