ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
FORM,91.35,91.41,-0.06,BELOW SMA,15,,,90.84,0.56,,,,0.259,-107.8,50.8,222.0,clean,60.0,CAUTION,-14.7,3,Parabolic,7.46,-4.91,54.23,XLI,equity,Equity,16.0,False,False,,41.0
CLOU,19.8,19.33,2.42,OPTIMAL,95,1.48,0.9,19.59,1.05,,,,0.265,52.8,0.0,243.0,clean,25.4,WARNING,-15.2,0,Deep Decline,-0.25,4.49,-14.91,XLK,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",40.9
UNG,12.7,12.3,3.2,OPTIMAL,95,1.48,0.9,12.41,2.33,,,,0.245,78.8,0.0,,,25.5,WARNING,-25.4,0,Deep Decline,,,,,commodity,Commodity,9.0,False,False,"{'grade': 'ROUGH', 'median_mae': -6.45, 'median_ttg': 2.0, 'prob_good': 21.1, 'prob_bad': 59.9}",40.9
BKCH,64.89,63.6,2.02,OPTIMAL,95,1.48,0.9,62.38,4.02,,,,0.049,-28.4,0.0,243.0,clean,24.9,WARNING,-22.3,0,Deep Decline,10.22,0.21,-20.02,XLK,equity,Equity,8.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",40.7
PYPL,44.92,43.8,2.55,OPTIMAL,95,1.48,0.9,45.91,-2.16,,,,0.51,174.8,0.0,243.0,clean,24.7,WARNING,-28.5,0,Deep Decline,-4.36,11.02,-26.55,XLC,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -7.07, 'median_ttg': 1.0, 'prob_good': 24.6, 'prob_bad': 61.7}",40.7
AXON,501.0,483.61,3.6,OPTIMAL,95,1.48,0.9,547.24,-8.45,,,,0.508,349.5,0.0,243.0,clean,24.2,WARNING,-22.9,0,Deep Decline,-12.72,15.32,-11.86,XLK,equity,Equity,11.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.13, 'median_ttg': 2.0, 'prob_good': 27.5, 'prob_bad': 53.2}",40.5
PANW,168.5,159.27,5.79,OPTIMAL,90,1.5,1.11,162.52,3.67,,,,0.192,101.6,0.0,243.0,clean,29.6,WARNING,-14.1,0,Deep Decline,2.09,1.93,-12.68,,equity,Equity,27.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.64, 'median_ttg': 1.0, 'prob_good': 22.2, 'prob_bad': 53.7}",40.4
UBER,74.53,73.99,0.73,OPTIMAL,95,1.48,0.9,74.82,-0.39,,,,0.352,66.0,0.0,243.0,clean,23.7,WARNING,-15.5,0,Deep Decline,-0.8,4.96,-11.44,,equity,Equity,18.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.85, 'median_ttg': 1.5, 'prob_good': 29.4, 'prob_bad': 55.9}",40.4
DAPP,17.03,16.1,5.75,OPTIMAL,90,1.5,1.11,16.4,3.82,,,,0.414,88.2,0.0,243.0,clean,29.3,WARNING,-19.5,0,Deep Decline,8.96,6.97,-14.29,XLK,equity,Equity,8.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.64, 'median_ttg': 1.0, 'prob_good': 22.2, 'prob_bad': 53.7}",40.3
VRDN,29.32,29.31,0.03,OPTIMAL,95,1.48,0.9,29.24,0.27,,,,0.195,47.9,0.0,243.0,clean,23.6,WARNING,-14.5,1,Basing,3.44,-2.51,-10.07,XLK,equity,Equity,7.0,False,False,"{'grade': 'ROUGH', 'median_mae': -5.42, 'median_ttg': 1.0, 'prob_good': 27.3, 'prob_bad': 52.7}",40.3
