ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
CLMT,--,22.0,86.2,66.0,82.8,,,,,,,,none,2,"['ranker', 'ranker_long']",
ORANY,--,25.0,85.5,117.0,79.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
EZPW,XLI,26.0,85.1,21.0,88.4,,,,,,,,none,2,"['ranker', 'ranker_long']",
LMT,XLI,27.0,84.8,,,,,,,,,7.0,none,2,"['ranker', 'stock_secrot']",Industrials
SDVKY,VXUS,29.0,84.4,67.0,82.7,,,,,,,,none,2,"['ranker', 'ranker_long']",
HALFF,XLC,29.0,84.4,,,,,,,,0.1,,none,2,"['ranker', 'secrot']",
CAMT,XLK,32.0,84.1,148.0,78.0,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
INSW,XLV,33.0,84.0,37.0,86.0,,,,,,,,none,2,"['ranker', 'ranker_long']",
RTX,XLI,34.0,83.9,44.0,85.2,,,,,,,4.0,none,2,"['ranker', 'ranker_long']",Industrials
NYT,XLC,34.0,83.9,99.0,80.7,,,,,,,4.0,none,2,"['ranker', 'ranker_long']",Communication Services
CM,XLF,36.0,83.8,104.0,80.3,,,,,,,2.0,none,2,"['ranker', 'ranker_long']",Financial Services
RODM,VGK,37.0,83.7,,,,,,,,2.8,,none,2,"['ranker', 'secrot']",
HCA,--,39.0,83.5,61.0,83.2,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Healthcare
MISL,XLI,40.0,83.2,,,,,,,,3.9,,none,2,"['ranker', 'secrot']",
TEN,--,43.0,82.9,59.0,83.3,,,,,,,,none,2,"['ranker', 'ranker_long']",
KPELY,--,43.0,82.9,4.0,91.7,,,,,,,,none,2,"['ranker', 'ranker_long']",
ISSC,QQQ,46.0,82.3,31.0,86.7,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
EVRG,XLU,47.0,82.1,112.0,80.0,,,,,,,1.0,bearish,2,"['ranker', 'ranker_long']",Utilities
NBTX,--,49.0,81.0,86.0,81.4,,,,,,,,none,2,"['ranker', 'ranker_long']",
TJX,--,54.0,80.4,62.0,83.1,,,,,,,1.0,bearish,2,"['ranker', 'ranker_long']",Consumer Cyclical
NMM,IAU,54.0,80.4,74.0,82.3,,,,,,,,none,2,"['ranker', 'ranker_long']",
SOYB,TLT,58.0,80.2,,,,,,,,0.6,,none,2,"['ranker', 'secrot']",
RHHBY,VGK,58.0,80.2,89.0,81.2,,,,,,,,none,2,"['ranker', 'ranker_long']",
OBYCF,XLB,60.0,80.1,69.0,82.5,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
LITE,XLK,61.0,79.9,34.0,86.2,,,,,,,2.0,bullish,2,"['ranker', 'ranker_long']",Technology
RAAX,IAU,70.0,78.5,,,,,,,,2.5,,none,2,"['ranker', 'secrot']",
MPC,XLE,72.0,78.1,26.0,87.9,,,,,,,1.0,none,2,"['ranker', 'ranker_long']",Energy
XLE,XLE,74.0,77.4,,,,,,,,0.6,,none,2,"['ranker', 'secrot']",
XOM,XLE,75.0,77.2,124.0,79.0,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Energy
SHLD,XLI,78.0,76.9,,,,,,,,3.5,,none,2,"['ranker', 'secrot']",
TRV,XLF,78.0,76.9,124.0,79.0,,,,,,,1.0,none,2,"['ranker', 'ranker_long']",Financial Services
TD,XLF,82.0,76.6,113.0,79.9,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Financial Services
FET,XLE,85.0,76.1,92.0,81.0,,,,,,,,none,2,"['ranker', 'ranker_long']",
SBLK,--,87.0,76.0,41.0,85.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
ASC,XLV,88.0,75.9,117.0,79.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
HWM,XLI,90.0,75.8,14.0,89.0,,,,,,,2.0,none,2,"['ranker', 'ranker_long']",Industrials
RYCEY,VGK,92.0,75.3,128.0,78.8,,,,,,,,none,2,"['ranker', 'ranker_long']",
KMI,XLE,92.0,75.3,149.0,77.9,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Energy
FIVE,XLI,92.0,75.3,92.0,81.0,,,,,,,3.0,bearish,2,"['ranker', 'ranker_long']",Consumer Cyclical
SEA,XLI,96.0,75.2,,,,,,,,3.0,,none,2,"['ranker', 'secrot']",
CTRE,TLT,97.0,75.1,73.0,82.4,,,,,,,,none,2,"['ranker', 'ranker_long']",
THC,--,98.0,74.9,31.0,86.7,,,,,,,0.0,none,2,"['ranker', 'ranker_long']",Healthcare
AEIS,XLI,99.0,74.6,108.0,80.2,,,,,,,,none,2,"['ranker', 'ranker_long']",
SAMM,SPY,100.0,74.4,,,,,,,,3.0,,none,2,"['ranker', 'secrot']",
FDX,XLI,101.0,74.3,34.0,86.2,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Industrials
TIP,LQD,101.0,74.3,,,,,,,,3.0,,none,2,"['ranker', 'secrot']",
XAR,XLI,103.0,74.1,,,,,,,,3.0,,none,2,"['ranker', 'secrot']",
GSG,XLE,107.0,73.8,,,,,,,,0.7,,none,2,"['ranker', 'secrot']",
WMB,XLE,108.0,73.6,149.0,77.9,,,,,,,2.0,none,2,"['ranker', 'ranker_long']",Energy
OSIS,XLI,110.0,73.4,134.0,78.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
WMT,XLP,110.0,73.4,27.0,87.3,,,,,,,3.0,bearish,2,"['ranker', 'ranker_long']",Consumer Defensive
ATI,XLI,112.0,73.3,5.0,91.6,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Industrials
FRO,--,113.0,73.1,9.0,89.7,,,,,,,,none,2,"['ranker', 'ranker_long']",
TERN,--,113.0,73.1,69.0,82.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
COP,XLE,116.0,72.6,46.0,85.1,,,,,,,4.0,none,2,"['ranker', 'ranker_long']",Energy
KLIC,XLI,118.0,71.8,84.0,81.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
MRNA,XLV,121.0,71.5,,,,,,,,,6.0,none,2,"['ranker', 'stock_secrot']",Healthcare
GCOW,XLB,123.0,71.3,,,,,,,,2.9,,bearish,2,"['ranker', 'secrot']",
ABBV,XLV,123.0,71.3,138.0,78.4,,,,,,,1.0,none,2,"['ranker', 'ranker_long']",Healthcare
FIDU,XLI,123.0,71.3,,,,,,,,3.1,,none,2,"['ranker', 'secrot']",
AEP,XLU,127.0,71.1,104.0,80.3,,,,,,,1.0,bearish,2,"['ranker', 'ranker_long']",Utilities
KNTNF,IAU,132.0,70.6,40.0,85.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
VIS,XLI,136.0,70.5,,,,,,,,3.3,,none,2,"['ranker', 'secrot']",
PH,XLI,141.0,70.0,120.0,79.4,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Industrials
EXC,XLU,141.0,70.0,138.0,78.4,,,,,,,1.0,bearish,2,"['ranker', 'ranker_long']",Utilities
DAN,XLB,144.0,69.9,126.0,78.9,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
HAL,XLE,146.0,69.8,,,,,,,,,6.0,none,2,"['ranker', 'stock_secrot']",Energy
MIELY,VXUS,148.0,69.7,101.0,80.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
CB,--,148.0,69.7,74.0,82.3,,,,,,,0.0,none,2,"['ranker', 'ranker_long']",Financial Services
GDX,--,,,49.0,84.3,,,,,,3.3,,none,2,"['ranker_long', 'secrot']",
NVS,--,,,55.0,84.0,,,,,,,6.0,none,2,"['ranker_long', 'stock_secrot']",Healthcare
AU,--,,,56.0,83.9,,,,,,,5.0,bearish,2,"['ranker_long', 'stock_secrot']",Basic Materials
GDXJ,--,,,57.0,83.8,,,,,,3.4,,none,2,"['ranker_long', 'secrot']",
RGLD,--,,,67.0,82.7,,,,,,,5.0,bearish,2,"['ranker_long', 'stock_secrot']",Basic Materials
RING,--,,,74.0,82.3,,,,,,4.0,,none,2,"['ranker_long', 'secrot']",
GOEX,--,,,74.0,82.3,,,,,,3.4,,none,2,"['ranker_long', 'secrot']",
BNO,--,,,85.0,81.5,,,,,,0.7,,none,2,"['ranker_long', 'secrot']",
SGDM,--,,,86.0,81.4,,,,,,4.1,,none,2,"['ranker_long', 'secrot']",
SIL,--,,,97.0,80.9,,,,,,3.7,,none,2,"['ranker_long', 'secrot']",
WT,--,,,100.0,80.6,,,,,,6.6,,none,2,"['ranker_long', 'secrot']",
BG,--,,,104.0,80.3,,,,,,,6.0,bearish,2,"['ranker_long', 'stock_secrot']",Consumer Defensive
PAAS,--,,,115.0,79.8,,,,,,,7.0,bearish,2,"['ranker_long', 'stock_secrot']",Basic Materials
SCCO,--,,,117.0,79.6,,,,,,,6.0,bearish,2,"['ranker_long', 'stock_secrot']",Basic Materials
SILJ,--,,,120.0,79.4,,,,,,3.8,,none,2,"['ranker_long', 'secrot']",
EWY,--,,,123.0,79.2,,,,,,5.0,,none,2,"['ranker_long', 'secrot']",
CDE,--,,,126.0,78.9,,,,,,,7.0,bearish,2,"['ranker_long', 'stock_secrot']",Basic Materials
GUNR,--,,,129.0,78.7,,,,,,3.1,,none,2,"['ranker_long', 'secrot']",
SYY,--,,,129.0,78.7,,,,,,,6.0,bearish,2,"['ranker_long', 'stock_secrot']",Consumer Defensive
GNR,--,,,133.0,78.6,,,,,,3.0,,none,2,"['ranker_long', 'secrot']",
IHE,--,,,134.0,78.5,,,,,,3.6,,none,2,"['ranker_long', 'secrot']",
SCHD,--,,,143.0,78.1,,,,,,0.5,,none,2,"['ranker_long', 'secrot']",
SGDJ,--,,,149.0,77.9,,,,,,4.1,,none,2,"['ranker_long', 'secrot']",
PSLV,--,,,,,,,,,,3.8,7.0,none,2,"['secrot', 'stock_secrot']",Financial Services
