ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,combined_score
SETM,35.71,36.12,-1.13,BELOW SMA,15,,,36.64,-2.55,,,,0.003,10.2,0.0,354.0,clean,59.6,CAUTION,-11.9,3,Parabolic,-0.86,3.81,26.32,IAU,miner,Miner,23.1
APD,276.83,278.22,-0.5,BELOW SMA,15,,,275.56,0.46,,,,0.699,-72.6,0.0,354.0,clean,59.2,CAUTION,-6.6,2,Sustained Uptrend,1.39,-2.22,6.19,XLB,sector,Sector,23.0
CPER,36.2,36.2,-0.01,BELOW SMA,15,,,36.17,0.09,,,,0.002,-2.7,0.0,354.0,clean,59.2,CAUTION,-10.5,2,Sustained Uptrend,1.69,-0.11,8.55,IAU,commodity,Commodity,23.0
EPU,87.04,88.87,-2.06,BELOW SMA,15,,,88.92,-2.11,,,,0.043,-31.1,0.0,354.0,clean,59.2,CAUTION,-8.7,3,Parabolic,-0.58,-1.26,29.85,IAU,commodity,Commodity,23.0
VB,267.85,274.54,-2.44,BELOW SMA,15,,,273.54,-2.08,,,,0.412,-39.9,0.0,354.0,clean,59.1,CAUTION,-5.0,2,Sustained Uptrend,-2.25,-3.43,2.94,XLI,index,Index,23.0
VLUE,146.69,149.71,-2.02,BELOW SMA,15,,,148.48,-1.21,,,,0.571,-48.6,0.0,354.0,clean,59.2,CAUTION,-4.9,2,Sustained Uptrend,-0.28,-3.42,8.41,SPY,index,Index,23.0
BLTE,175.64,178.44,-1.57,BELOW SMA,15,,,179.08,-1.92,,,,0.004,-9.1,0.0,354.0,clean,58.7,CAUTION,-12.2,3,Parabolic,4.62,-6.5,17.09,,index,Index,22.9
FLGB,35.52,36.03,-1.43,BELOW SMA,15,,,36.12,-1.66,,,,0.079,-19.7,0.0,354.0,clean,58.7,CAUTION,-5.0,2,Sustained Uptrend,-0.63,-0.99,7.33,VGK,index,Index,22.9
IJH,68.94,70.63,-2.41,BELOW SMA,15,,,70.51,-2.23,,,,0.406,-41.4,0.0,354.0,clean,58.7,CAUTION,-5.0,2,Sustained Uptrend,-2.72,-3.9,3.6,XLI,index,Index,22.9
LVHI,39.69,40.15,-1.15,BELOW SMA,15,,,40.53,-2.07,,,,0.052,-14.4,0.0,354.0,clean,58.9,CAUTION,-4.8,2,Sustained Uptrend,-1.93,-0.73,9.82,VGK,index,Index,22.9
MDY,629.66,645.13,-2.4,BELOW SMA,15,,,643.89,-2.21,,,,0.41,-41.6,0.0,354.0,clean,58.7,CAUTION,-5.0,2,Sustained Uptrend,-2.68,-3.91,3.67,XLI,index,Index,22.9
QQQJ,37.4,38.12,-1.89,BELOW SMA,15,,,37.71,-0.83,,,,0.533,-44.3,0.0,354.0,clean,58.7,CAUTION,-5.5,2,Sustained Uptrend,0.32,-2.83,0.24,XLK,equity,Equity,22.9
TSM,350.11,356.7,-1.85,BELOW SMA,15,,,361.04,-3.03,,,,0.146,-51.9,0.0,354.0,clean,58.7,CAUTION,-10.3,3,Parabolic,-0.86,0.36,18.79,XLK,equity,Equity,22.9
WCMI,17.55,17.95,-2.2,BELOW SMA,15,,,17.73,-1.03,,,,0.481,-55.9,0.0,354.0,clean,58.9,CAUTION,-4.8,2,Sustained Uptrend,0.92,-1.57,5.34,VXUS,index,Index,22.9
AIA,111.18,112.02,-0.75,BELOW SMA,15,,,112.65,-1.31,,,,0.042,-25.2,0.0,354.0,clean,58.5,CAUTION,-7.1,2,Sustained Uptrend,1.49,1.28,14.69,VXUS,index,Index,22.8
FYC,98.54,100.36,-1.81,BELOW SMA,15,,,99.97,-1.43,,,,0.357,-31.1,0.0,354.0,clean,58.4,CAUTION,-5.6,2,Sustained Uptrend,-1.11,-2.35,2.25,SPY,index,Index,22.8
JBHT,217.85,222.47,-2.07,BELOW SMA,15,,,225.38,-3.34,,,,0.023,-16.0,0.0,354.0,clean,58.6,CAUTION,-7.7,3,Parabolic,-5.64,-4.41,15.63,XLI,sector,Sector,22.8
EWD,51.99,53.16,-2.2,BELOW SMA,15,,,52.85,-1.63,,,,0.403,-47.9,0.0,354.0,clean,58.2,CAUTION,-5.3,2,Sustained Uptrend,0.23,-1.78,7.48,VGK,index,Index,22.7
FESM,38.74,39.9,-2.9,BELOW SMA,15,,,39.63,-2.24,,,,0.448,-46.2,0.0,354.0,clean,58.2,CAUTION,-6.2,2,Sustained Uptrend,-2.34,-4.06,1.52,SPY,index,Index,22.7
GCOW,45.35,45.93,-1.27,BELOW SMA,15,,,46.26,-1.97,,,,0.127,-21.1,0.0,354.0,clean,58.3,CAUTION,-4.7,2,Sustained Uptrend,-2.03,-0.94,9.12,XLB,index,Index,22.7
GFI,52.81,54.15,-2.47,BELOW SMA,15,,,54.12,-2.42,,,,0.09,-65.7,0.0,354.0,clean,58.3,CAUTION,-14.3,3,Parabolic,3.13,-1.3,25.12,IAU,miner,Miner,22.7
HII,420.54,422.89,-0.55,BELOW SMA,15,,,435.19,-3.37,,,,0.35,96.1,0.0,354.0,clean,58.2,CAUTION,-8.6,3,Parabolic,-4.49,5.72,38.07,XLI,equity,Equity,22.7
NBY,1.28,3.44,-62.75,BELOW SMA,15,,,1.42,-10.11,,,,0.894,-1418.6,0.0,,,58.2,CAUTION,-98.7,2,Sustained Uptrend,,,,,index,Index,22.7
DAN,32.5,32.65,-0.46,BELOW SMA,15,,,33.91,-4.15,,,,0.041,26.3,0.0,354.0,clean,57.9,CAUTION,-10.4,3,Parabolic,-3.47,2.56,54.76,XLB,index,Index,22.6
DGRO,71.8,73.05,-1.71,BELOW SMA,15,,,72.89,-1.5,,,,0.548,-30.6,0.0,354.0,clean,57.8,CAUTION,-3.4,2,Sustained Uptrend,-1.74,-2.91,3.08,XLI,equity,Equity,22.6
GNK,22.25,22.35,-0.44,BELOW SMA,15,,,23.29,-4.46,,,,0.145,71.0,0.0,354.0,clean,58.0,CAUTION,-10.3,3,Parabolic,-7.21,7.13,15.17,XLI,index,Index,22.6
IYM,178.67,180.81,-1.18,BELOW SMA,15,,,183.13,-2.44,,,,0.017,-10.7,0.0,354.0,clean,58.0,CAUTION,-5.9,3,Parabolic,-2.56,1.05,20.72,XLB,sector,Sector,22.6
KN,25.51,26.34,-3.15,BELOW SMA,15,,,26.52,-3.81,,,,0.29,-78.4,0.0,354.0,clean,57.8,CAUTION,-11.2,2,Sustained Uptrend,-2.86,-5.45,9.16,XLI,equity,Equity,22.6
MTRN,148.24,151.5,-2.15,BELOW SMA,15,,,156.19,-5.09,,,,0.006,-12.9,0.0,354.0,clean,57.7,CAUTION,-13.8,3,Parabolic,-8.07,-2.07,18.36,XLB,sector,Sector,22.6
URA,52.79,53.6,-1.51,BELOW SMA,15,,,52.83,-0.08,,,,0.09,-43.2,0.0,354.0,clean,57.7,CAUTION,-15.2,2,Sustained Uptrend,1.52,1.21,10.16,XLK,miner,Miner,22.6
XP,20.34,20.42,-0.4,BELOW SMA,15,,,20.66,-1.59,,,,0.002,-10.3,0.0,354.0,clean,57.8,CAUTION,-12.1,2,Sustained Uptrend,0.27,4.87,13.73,VXUS,index,Index,22.6
IPAC,79.44,80.7,-1.57,BELOW SMA,15,,,80.44,-1.25,,,,0.537,-73.7,0.0,354.0,clean,57.4,CAUTION,-5.4,2,Sustained Uptrend,0.44,-0.79,5.9,VXUS,index,Index,22.5
PFG,90.61,93.96,-3.56,BELOW SMA,15,,,93.76,-3.36,,,,0.001,-2.9,0.0,354.0,clean,57.6,CAUTION,-7.4,2,Sustained Uptrend,-3.27,-6.91,3.53,XLF,equity,Equity,22.5
COPY,13.69,14.07,-2.72,BELOW SMA,15,,,14.05,-2.56,,,,0.362,-41.9,0.0,,,57.2,CAUTION,-5.6,2,Sustained Uptrend,,,,,index,Index,22.4
RODM,39.55,39.95,-1.01,BELOW SMA,15,,,40.19,-1.6,,,,0.183,-22.3,0.0,354.0,clean,57.3,CAUTION,-4.2,2,Sustained Uptrend,-1.31,-0.32,8.14,VGK,index,Index,22.4
SAMM,30.35,30.94,-1.92,BELOW SMA,15,,,30.83,-1.56,,,,0.223,-31.1,0.0,354.0,clean,57.1,CAUTION,-4.2,2,Sustained Uptrend,-1.81,-2.94,0.17,SPY,equity,Equity,22.4
SLB,48.09,49.8,-3.44,BELOW SMA,15,,,49.18,-2.22,,,,0.387,-85.8,0.0,354.0,clean,57.3,CAUTION,-8.3,3,Parabolic,-1.01,-5.15,25.04,XLE,commodity,Commodity,22.4
TDS,44.13,45.31,-2.61,BELOW SMA,15,,,44.79,-1.48,,,,0.445,-55.2,0.0,354.0,clean,57.1,CAUTION,-7.7,2,Sustained Uptrend,-0.32,-3.65,12.01,,equity,Equity,22.4
AVDV,103.32,105.82,-2.36,BELOW SMA,15,,,106.23,-2.74,,,,0.271,-45.1,0.0,354.0,clean,57.0,CAUTION,-6.5,2,Sustained Uptrend,-1.84,-0.57,11.04,VXUS,index,Index,22.3
IWM,254.08,261.56,-2.86,BELOW SMA,15,,,259.22,-1.98,,,,0.535,-50.7,0.0,354.0,clean,57.0,CAUTION,-6.5,2,Sustained Uptrend,-1.99,-4.13,1.32,XLI,index,Index,22.3
LIT,72.2,72.46,-0.36,BELOW SMA,15,,,72.67,-0.65,,,,0.056,-28.3,0.0,354.0,clean,56.8,CAUTION,-7.4,2,Sustained Uptrend,2.63,1.56,14.88,VXUS,index,Index,22.3
SEIV,42.05,42.8,-1.76,BELOW SMA,15,,,42.64,-1.39,,,,0.641,-33.1,0.0,354.0,clean,56.9,CAUTION,-4.3,2,Sustained Uptrend,-1.15,-3.02,2.96,SPY,index,Index,22.3
VOX,191.16,191.81,-0.34,BELOW SMA,15,,,191.63,-0.24,,,,0.122,16.4,0.0,354.0,clean,56.8,CAUTION,-4.8,2,Sustained Uptrend,-0.51,0.17,-1.76,XLC,equity,Equity,22.3
FDX,364.22,367.39,-0.86,BELOW SMA,15,,,376.89,-3.36,,,,0.0,0.9,0.0,354.0,clean,56.5,CAUTION,-7.3,3,Parabolic,-4.79,-1.36,32.79,XLI,sector,Sector,22.2
MRK,117.48,118.55,-0.91,BELOW SMA,15,,,119.35,-1.57,,,,0.05,-19.3,0.0,354.0,clean,56.6,CAUTION,-6.1,3,Parabolic,-1.96,-3.65,17.81,XLV,equity,Equity,22.2
NVT,109.91,114.66,-4.15,BELOW SMA,15,,,114.23,-3.79,,,,0.06,-36.6,0.0,354.0,clean,56.6,CAUTION,-10.6,2,Sustained Uptrend,-1.56,-2.43,2.03,XLI,bond,Bond,22.2
PRAX,310.66,322.36,-3.63,BELOW SMA,15,,,323.97,-4.11,,,,0.086,-42.8,0.0,354.0,clean,56.6,CAUTION,-12.7,3,Parabolic,-2.37,-2.79,25.27,,equity,Equity,22.2
CTNM,13.4,14.88,-9.94,BELOW SMA,15,,,14.58,-8.08,,,,0.342,-132.1,0.0,,,56.3,CAUTION,-17.9,3,Parabolic,,,,,equity,Equity,22.1
EWT,70.76,71.87,-1.54,BELOW SMA,15,,,72.83,-2.84,,,,0.03,-20.4,0.0,354.0,clean,56.0,CAUTION,-8.4,2,Sustained Uptrend,-0.74,1.01,8.28,VXUS,index,Index,22.1
FCOM,72.41,72.63,-0.3,BELOW SMA,15,,,72.57,-0.22,,,,0.126,16.4,0.0,354.0,clean,56.2,CAUTION,-4.7,2,Sustained Uptrend,-0.51,0.19,-1.48,XLC,equity,Equity,22.1
GOLY,37.16,37.94,-2.07,BELOW SMA,15,,,38.11,-2.5,,,,0.15,-55.3,0.0,354.0,clean,56.1,CAUTION,-10.9,2,Sustained Uptrend,-1.64,-0.11,9.07,IAU,bond,Bond,22.1
HUBB,484.1,503.77,-3.9,BELOW SMA,15,,,497.7,-2.73,,,,0.383,-89.2,0.0,354.0,clean,56.2,CAUTION,-9.3,2,Sustained Uptrend,-0.9,-3.91,9.89,XLI,sector,Sector,22.1
AU,109.08,110.57,-1.34,BELOW SMA,15,,,116.7,-6.53,,,,0.053,64.4,0.0,354.0,clean,55.9,CAUTION,-15.5,3,Parabolic,-5.07,4.94,32.3,IAU,miner,Miner,22.0
BAI,34.36,34.56,-0.58,BELOW SMA,15,,,34.41,-0.16,,,,0.253,-45.0,0.0,354.0,clean,55.9,CAUTION,-5.3,1,Basing,2.6,-0.12,-2.08,XLK,index,Index,22.0
IDMO,57.35,58.59,-2.11,BELOW SMA,15,,,58.29,-1.62,,,,0.293,-43.9,0.0,354.0,clean,55.8,CAUTION,-5.1,2,Sustained Uptrend,0.1,-1.8,4.67,VGK,index,Index,22.0
PG,156.64,158.32,-1.06,BELOW SMA,15,,,159.53,-1.81,,,,0.046,-20.4,0.0,354.0,clean,55.8,CAUTION,-6.3,2,Sustained Uptrend,-1.93,-1.59,9.19,XLP,equity,Equity,22.0
PVAL,46.86,48.09,-2.55,BELOW SMA,15,,,47.73,-1.83,,,,0.62,-46.5,0.0,354.0,clean,55.8,CAUTION,-4.6,2,Sustained Uptrend,-2.07,-4.29,4.88,XLI,index,Index,22.0
SYY,84.97,87.3,-2.67,BELOW SMA,15,,,87.62,-3.03,,,,0.212,-42.0,0.0,354.0,clean,55.9,CAUTION,-7.5,2,Sustained Uptrend,-3.45,-1.8,16.24,XLU,index,Index,22.0
VCSH,79.65,79.68,-0.04,BELOW SMA,15,,,79.76,-0.13,,,,0.0,-0.1,0.0,354.0,clean,55.9,CAUTION,-0.8,1,Basing,-0.12,-0.27,-0.06,LQD,bond,Bond,22.0
AIRR,112.86,116.74,-3.33,BELOW SMA,15,,,116.14,-2.83,,,,0.474,-71.6,0.0,354.0,clean,55.5,CAUTION,-8.6,2,Sustained Uptrend,-3.64,-4.76,13.99,XLI,index,Index,21.9
ARKQ,121.59,123.23,-1.33,BELOW SMA,15,,,122.22,-0.51,,,,0.235,-32.2,0.0,354.0,clean,55.4,CAUTION,-10.1,2,Sustained Uptrend,0.62,-0.99,6.11,XLK,equity,Equity,21.9
CGIE,35.19,36.1,-2.52,BELOW SMA,15,,,35.66,-1.35,,,,0.517,-63.8,0.0,354.0,clean,55.5,CAUTION,-5.1,2,Sustained Uptrend,0.76,-2.32,2.25,VGK,index,Index,21.9
DEM,49.73,50.69,-1.88,BELOW SMA,15,,,50.53,-1.57,,,,0.322,-42.0,0.0,354.0,clean,55.4,CAUTION,-5.0,2,Sustained Uptrend,-0.17,-1.44,6.02,VXUS,index,Index,21.9
MTSI,222.83,235.55,-5.4,BELOW SMA,15,,,236.52,-5.79,,,,0.129,-75.4,0.0,354.0,clean,55.6,CAUTION,-14.0,3,Parabolic,-7.54,-5.53,21.04,XLK,equity,Equity,21.9
TAN,54.97,56.95,-3.49,BELOW SMA,15,,,55.4,-0.79,,,,0.537,-124.7,0.0,354.0,clean,55.5,CAUTION,-9.9,2,Sustained Uptrend,0.91,-4.81,15.25,XLB,sector,Sector,21.9
VNET,11.14,11.38,-2.13,BELOW SMA,15,,,10.49,6.22,,,,0.695,-404.4,0.0,,,55.4,CAUTION,-23.1,2,Sustained Uptrend,,,,,index,Index,21.9
BKR,59.8,60.57,-1.28,BELOW SMA,15,,,62.31,-4.03,,,,0.023,20.7,0.0,354.0,clean,55.2,CAUTION,-10.7,3,Parabolic,-4.38,1.5,21.55,XLE,commodity,Commodity,21.8
EFAV,91.25,92.19,-1.02,BELOW SMA,15,,,92.47,-1.32,,,,0.283,-29.3,0.0,354.0,clean,55.0,CAUTION,-4.1,2,Sustained Uptrend,-0.32,-0.35,6.24,VGK,index,Index,21.8
EGO,42.48,43.39,-2.1,BELOW SMA,15,,,43.0,-1.21,,,,0.274,-112.6,0.0,354.0,clean,55.3,CAUTION,-17.0,3,Parabolic,1.46,8.87,36.59,IAU,miner,Miner,21.8
EUAD,45.37,45.67,-0.65,BELOW SMA,15,,,45.43,-0.13,,,,0.082,-29.7,0.0,354.0,clean,55.2,CAUTION,-6.3,2,Sustained Uptrend,1.98,1.89,11.23,VGK,index,Index,21.8
FLTW,68.36,69.54,-1.69,BELOW SMA,15,,,70.62,-3.2,,,,0.012,-12.7,0.0,354.0,clean,55.3,CAUTION,-8.5,2,Sustained Uptrend,-1.4,1.32,11.94,VXUS,index,Index,21.8
FTAI,273.36,280.99,-2.72,BELOW SMA,15,,,286.42,-4.56,,,,0.007,16.8,0.0,354.0,clean,55.1,CAUTION,-15.5,3,Parabolic,-2.98,0.27,54.42,XLI,index,Index,21.8
ITW,275.33,286.0,-3.73,BELOW SMA,15,,,284.66,-3.28,,,,0.721,-87.0,0.0,354.0,clean,55.1,CAUTION,-9.2,2,Sustained Uptrend,-3.72,-6.21,10.26,XLB,sector,Sector,21.8
MPWR,1076.4,1153.7,-6.7,BELOW SMA,15,,,1111.08,-3.12,,,,0.519,-150.6,0.0,354.0,clean,55.0,CAUTION,-14.3,2,Sustained Uptrend,0.19,-12.48,11.74,XLK,equity,Equity,21.8
NSRGY,102.01,102.52,-0.49,BELOW SMA,15,,,105.07,-2.91,,,,0.092,24.3,0.0,354.0,clean,55.0,CAUTION,-6.9,2,Sustained Uptrend,-2.76,0.2,4.43,XLP,index,Index,21.8
^RUT,2557.21,2634.02,-2.92,BELOW SMA,15,,,2609.49,-2.0,,,,0.543,-51.5,0.0,354.0,clean,55.2,CAUTION,-6.5,2,Sustained Uptrend,-1.96,-4.24,1.42,XLI,index,Index,21.8
CGNG,33.12,33.98,-2.52,BELOW SMA,15,,,33.56,-1.32,,,,0.475,-70.2,0.0,354.0,clean,54.8,CAUTION,-5.7,2,Sustained Uptrend,0.79,-2.67,4.12,VXUS,index,Index,21.7
FIDI,27.52,28.02,-1.78,BELOW SMA,15,,,28.02,-1.79,,,,0.387,-43.4,0.0,354.0,clean,54.8,CAUTION,-4.9,2,Sustained Uptrend,-0.86,-1.68,8.22,VGK,index,Index,21.7
