ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,potential_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
MUB,106.98,106.61,0.35,OPTIMAL,95,1.48,0.9,107.04,-0.06,,,,0.659,17.0,0.0,650.0,clean,70.2,WARNING,-1.6,1.0,Basing,0.15,0.85,0.01,LQD,bond,Bond,4.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -0.65, 'median_ttg': 2.0, 'prob_good': 56.7, 'prob_bad': 29.9}",54.3
AGG,98.61,98.4,0.21,OPTIMAL,95,1.48,0.9,98.58,0.04,,,,0.428,10.8,0.0,650.0,clean,69.7,WARNING,-1.7,1.0,Basing,0.31,0.61,-0.77,LQD,bond,Bond,4.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -0.65, 'median_ttg': 2.0, 'prob_good': 56.7, 'prob_bad': 29.9}",54.2
XHB,107.33,102.67,4.54,OPTIMAL,95,1.48,0.9,106.29,0.97,,,,0.814,126.9,0.0,650.0,clean,69.7,WARNING,-16.2,2.0,Sustained Uptrend,3.72,11.33,7.77,XLI,bond,Bond,4.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -0.65, 'median_ttg': 2.0, 'prob_good': 56.7, 'prob_bad': 29.9}",54.2
DPZ,314.36,311.72,0.85,OPTIMAL,95,1.48,0.9,314.15,0.07,,,,0.161,23.4,0.0,650.0,clean,69.4,WARNING,-9.9,1.0,Basing,-0.13,2.06,-16.6,XLP,equity,Equity,37.0,False,False,"{'grade': 'OK', 'median_mae': -2.65, 'median_ttg': 2.0, 'prob_good': 40.1, 'prob_bad': 36.0}",54.1
HD,327.48,313.22,4.55,OPTIMAL,95,1.48,0.9,321.95,1.72,,,,0.649,95.3,0.0,650.0,clean,69.6,WARNING,-11.9,2.0,Sustained Uptrend,2.68,9.23,-1.04,XLY,equity,Equity,37.0,False,False,"{'grade': 'OK', 'median_mae': -2.65, 'median_ttg': 2.0, 'prob_good': 40.1, 'prob_bad': 36.0}",54.1
FM,27.19,27.15,0.15,OPTIMAL,95,1.48,0.9,27.15,0.15,,,,0.004,-0.4,0.0,,,69.3,WARNING,-1.8,1.0,Basing,,,,,index,Index,31.0,True,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",54.0
KLAC,238.73,201.83,18.28,FAIR,55,1.67,1.01,227.25,5.05,,,,0.825,408.6,69.4,146.0,clean,34.8,CAUTION,-12.3,3.0,Parabolic,11.79,35.91,61.04,QQQ,equity,Equity,16.0,False,False,"{'grade': 'ROUGH', 'median_mae': -8.15, 'median_ttg': 1.0, 'prob_good': 23.4, 'prob_bad': 64.9}",54.0
RTX,192.58,178.27,8.03,OPTIMAL,90,1.5,1.11,182.88,5.31,,,,0.605,86.0,53.7,441.0,clean,11.9,HEALTHY,-2.6,2.0,Sustained Uptrend,8.55,9.45,-5.86,XLI,equity,Equity,11.0,False,False,"{'grade': 'OK', 'median_mae': -4.3, 'median_ttg': 2.0, 'prob_good': 32.7, 'prob_bad': 49.0}",53.9
CRDO,249.33,213.96,16.53,FAIR,55,1.67,1.01,238.22,4.67,,,,0.64,354.9,55.9,416.0,clean,50.0,,,,,4.9,59.55,145.11,XLK,equity,Equity,,False,False,"{'grade': 'ROUGH', 'median_mae': -7.46, 'median_ttg': 2.0, 'prob_good': 24.2, 'prob_bad': 61.0}",53.8
EXPE,239.47,225.4,6.24,OPTIMAL,90,1.5,1.11,230.15,4.05,,,,0.577,102.2,0.0,650.0,clean,74.5,WARNING,-25.0,0.0,Deep Decline,9.38,11.39,-0.24,XLY,equity,Equity,37.0,False,False,"{'grade': 'OK', 'median_mae': -3.2, 'median_ttg': 2.0, 'prob_good': 37.0, 'prob_bad': 37.9}",53.8
CUK,27.47,26.79,2.54,OPTIMAL,95,1.48,0.9,26.51,3.6,,,,0.412,-100.5,0.0,,,67.8,WARNING,-23.5,3.0,Parabolic,,,,,index,Index,10.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.43, 'median_ttg': 1.0, 'prob_good': 44.0, 'prob_bad': 33.8}",53.6
ATGE,113.13,109.51,3.31,OPTIMAL,95,1.48,0.9,115.34,-1.92,,,,0.587,127.7,0.0,,,67.6,WARNING,-17.2,1.0,Basing,,,,,index,Index,3.0,False,False,"{'grade': 'OK', 'median_mae': -2.65, 'median_ttg': 2.0, 'prob_good': 40.1, 'prob_bad': 36.0}",53.5
RLI,52.75,50.43,4.6,OPTIMAL,95,1.48,0.9,52.99,-0.45,,,,0.72,111.7,0.0,650.0,clean,67.3,WARNING,-9.5,1.0,Basing,-2.21,-0.45,-10.61,XLF,equity,Equity,2.0,False,False,"{'grade': 'OK', 'median_mae': -2.65, 'median_ttg': 2.0, 'prob_good': 40.1, 'prob_bad': 36.0}",53.4
ALNT,93.69,76.44,22.56,CAUTION,40,1.58,0.49,90.16,3.91,,,,0.869,556.5,69.3,147.0,clean,50.0,,,,,9.25,53.77,52.96,VXUS,equity,Equity,,False,False,"{'grade': 'ROUGH', 'median_mae': -7.46, 'median_ttg': 2.0, 'prob_good': 24.2, 'prob_bad': 61.0}",53.3
SARO,27.16,26.29,3.32,OPTIMAL,95,1.48,0.9,26.01,4.41,,,,0.01,-17.3,0.0,650.0,clean,66.8,WARNING,-17.4,2.0,Sustained Uptrend,9.65,5.52,0.0,XLI,equity,Equity,11.0,False,False,"{'grade': 'OK', 'median_mae': -3.54, 'median_ttg': 2.0, 'prob_good': 35.6, 'prob_bad': 44.4}",53.3
XRT,84.55,83.3,1.5,OPTIMAL,95,1.48,0.9,85.42,-1.02,,,,0.64,85.4,0.0,650.0,stalling,66.8,WARNING,-10.5,2.0,Sustained Uptrend,-0.52,6.23,7.04,XLY,equity,Equity,37.0,False,False,"{'grade': 'OK', 'median_mae': -2.65, 'median_ttg': 2.0, 'prob_good': 40.1, 'prob_bad': 36.0}",53.3
AES,14.61,14.6,0.06,OPTIMAL,95,1.48,0.9,14.67,-0.4,,,,0.025,-1.7,0.0,,,66.5,WARNING,-19.3,2.0,Sustained Uptrend,,,,,bond,Bond,4.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -0.65, 'median_ttg': 2.0, 'prob_good': 56.7, 'prob_bad': 29.9}",53.2
CTRN,56.84,45.3,25.48,WARNING,25,1.66,2.33,48.86,16.34,EXIT WATCH,1.59,0.49,0.635,386.5,83.9,29.0,clean,50.0,,,,,24.49,40.24,15.04,XLY,equity,Equity,,False,False,"{'grade': 'ROUGH', 'median_mae': -9.51, 'median_ttg': 3.0, 'prob_good': 20.4, 'prob_bad': 64.8}",53.1
TXG,32.13,26.61,20.76,CAUTION,40,1.58,0.49,30.74,4.52,,,,0.661,392.0,75.8,85.0,clean,41.7,CAUTION,-13.7,3.0,Parabolic,10.37,49.79,85.19,SPY,equity,Equity,7.0,True,False,"{'grade': 'ROUGH', 'median_mae': -9.64, 'median_ttg': 2.0, 'prob_good': 22.5, 'prob_bad': 65.0}",53.0
UURAF,4.01,3.94,1.92,OPTIMAL,95,1.48,0.9,3.95,1.46,,,,0.087,82.5,0.0,,,65.6,WARNING,-33.2,2.0,Sustained Uptrend,,,,,index,Index,31.0,True,False,"{'grade': 'OK', 'median_mae': -2.86, 'median_ttg': 2.0, 'prob_good': 39.6, 'prob_bad': 38.5}",52.9
OPCH,21.71,20.74,4.69,OPTIMAL,95,1.48,0.9,20.93,3.75,,,,0.019,-15.1,0.0,650.0,clean,65.3,WARNING,-19.5,2.0,Sustained Uptrend,1.54,10.26,-26.8,,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.23, 'median_ttg': 1.0, 'prob_good': 37.2, 'prob_bad': 40.0}",52.8
SHW,313.8,307.61,2.01,OPTIMAL,95,1.48,0.9,311.01,0.9,,,,0.219,51.2,0.0,650.0,clean,65.1,WARNING,-14.3,2.0,Sustained Uptrend,3.25,3.64,0.54,VGK,sector,Sector,34.0,False,False,"{'grade': 'OK', 'median_mae': -3.14, 'median_ttg': 1.0, 'prob_good': 37.3, 'prob_bad': 38.8}",52.8
VRDN,16.71,16.68,0.18,OPTIMAL,95,1.48,0.9,16.16,3.38,,,,0.341,-95.9,0.0,650.0,clean,65.3,WARNING,-16.7,2.0,Sustained Uptrend,5.96,3.79,-39.74,,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.23, 'median_ttg': 1.0, 'prob_good': 37.2, 'prob_bad': 40.0}",52.8
WOOD,67.11,66.52,0.9,OPTIMAL,95,1.48,0.9,66.79,0.49,,,,0.388,40.4,0.0,650.0,clean,65.0,WARNING,-12.6,2.0,Sustained Uptrend,1.94,2.7,-4.0,VGK,index,Index,1.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.43, 'median_ttg': 1.0, 'prob_good': 44.0, 'prob_bad': 33.8}",52.8
CMG,31.86,31.66,0.62,OPTIMAL,95,1.48,0.9,30.78,3.52,,,,0.084,-61.5,0.0,650.0,clean,64.8,WARNING,-18.3,2.0,Sustained Uptrend,4.73,-5.6,-2.39,XLF,equity,Equity,37.0,False,False,"{'grade': 'OK', 'median_mae': -2.65, 'median_ttg': 2.0, 'prob_good': 40.1, 'prob_bad': 36.0}",52.7
SBH,13.05,12.8,1.96,OPTIMAL,95,1.48,0.9,13.03,0.13,,,,0.247,85.7,0.0,,,64.9,WARNING,-16.5,2.0,Sustained Uptrend,,,,,equity,Equity,37.0,False,False,"{'grade': 'OK', 'median_mae': -2.65, 'median_ttg': 2.0, 'prob_good': 40.1, 'prob_bad': 36.0}",52.7
AVY,159.55,157.93,1.02,OPTIMAL,95,1.48,0.9,157.61,1.23,,,,0.075,18.0,0.0,650.0,clean,64.4,WARNING,-13.1,2.0,Sustained Uptrend,2.23,1.73,-3.11,XLB,sector,Sector,34.0,False,False,"{'grade': 'OK', 'median_mae': -3.14, 'median_ttg': 1.0, 'prob_good': 37.3, 'prob_bad': 38.8}",52.6
CLX,94.97,93.55,1.52,OPTIMAL,95,1.48,0.9,96.03,-1.1,,,,0.096,44.7,0.0,650.0,clean,64.4,WARNING,-12.5,2.0,Sustained Uptrend,-4.38,2.32,-12.01,XLP,equity,Equity,2.0,False,False,"{'grade': 'OK', 'median_mae': -2.65, 'median_ttg': 2.0, 'prob_good': 40.1, 'prob_bad': 36.0}",52.6
FLG,14.6,14.05,3.88,OPTIMAL,95,1.48,0.9,14.5,0.69,,,,0.772,117.4,0.0,,,64.3,WARNING,-16.4,2.0,Sustained Uptrend,,,,,equity,Equity,19.0,False,False,"{'grade': 'OK', 'median_mae': -2.92, 'median_ttg': 2.0, 'prob_good': 38.1, 'prob_bad': 37.4}",52.5
DLTR,106.41,102.13,4.19,OPTIMAL,95,1.48,0.9,110.72,-3.89,,,,0.529,240.3,0.0,650.0,clean,63.7,WARNING,-19.0,2.0,Sustained Uptrend,-3.54,16.64,-1.0,LQD,equity,Equity,2.0,False,False,"{'grade': 'OK', 'median_mae': -2.65, 'median_ttg': 2.0, 'prob_good': 40.1, 'prob_bad': 36.0}",52.4
NMR,9.1,8.29,9.75,OPTIMAL,90,1.5,1.11,8.71,4.47,,,,0.851,148.8,0.0,,,69.8,WARNING,-18.6,3.0,Parabolic,,,,,index,Index,15.0,False,False,"{'grade': 'OK', 'median_mae': -3.47, 'median_ttg': 2.0, 'prob_good': 36.8, 'prob_bad': 43.5}",52.4
ALAB,374.68,302.56,23.84,CAUTION,10,1.58,-10.6,355.42,5.42,,,,0.637,347.3,64.3,248.0,clean,87.5,BREAKDOWN,-34.1,0.0,Deep Decline,13.24,73.8,196.56,XLK,index,Index,25.0,True,False,"{'grade': 'ROUGH', 'median_mae': -7.46, 'median_ttg': 2.0, 'prob_good': 24.2, 'prob_bad': 61.0}",52.3
HPE,48.2,41.07,17.35,FAIR,55,1.67,1.01,48.6,-0.81,,,,0.565,508.2,51.6,481.0,clean,50.0,,,,,5.96,46.06,123.87,XLK,equity,Equity,,False,False,"{'grade': 'ROUGH', 'median_mae': -7.46, 'median_ttg': 2.0, 'prob_good': 24.2, 'prob_bad': 61.0}",52.3
JJC,19.56,19.25,1.6,OPTIMAL,95,1.48,0.9,19.16,2.1,,,,0.161,28.0,0.0,,,63.1,WARNING,-8.3,1.0,Basing,,,,,commodity,Commodity,45.0,False,False,"{'grade': 'ROUGH', 'median_mae': -4.2, 'median_ttg': 2.0, 'prob_good': 28.6, 'prob_bad': 48.7}",52.2
SCHW,94.51,89.47,5.63,OPTIMAL,90,1.5,1.11,90.19,4.79,,,,0.119,36.3,0.0,650.0,clean,69.1,WARNING,-14.2,2.0,Sustained Uptrend,5.87,2.29,1.32,XLF,equity,Equity,19.0,False,False,"{'grade': 'OK', 'median_mae': -3.05, 'median_ttg': 1.0, 'prob_good': 38.5, 'prob_bad': 36.4}",52.2
EWL,61.49,60.95,0.89,OPTIMAL,95,1.48,0.9,60.95,0.88,,,,0.006,-4.1,0.0,650.0,clean,62.9,WARNING,-8.3,2.0,Sustained Uptrend,0.67,-0.63,6.27,VGK,index,Index,1.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -2.43, 'median_ttg': 1.0, 'prob_good': 44.0, 'prob_bad': 33.8}",52.1
