ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,spread_support,source_count,sources,sector
BP,XLE,67.0,75.2,120.0,78.4,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Energy
ASC,--,67.0,75.2,100.0,79.6,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
CLMT,--,71.0,74.9,1.0,93.8,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
CM,VGK,71.0,74.9,96.0,80.0,,,,,,,2.0,,,none,2,"['ranker', 'ranker_long']",Financial Services
LINC,LQD,73.0,74.6,47.0,83.7,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
GNK,XLI,75.0,74.3,126.0,78.0,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
XEL,XLU,79.0,73.7,143.0,77.1,,,,,,,1.0,,,bearish,2,"['ranker', 'ranker_long']",Utilities
XAR,XLI,80.0,73.5,,,,,,,,4.2,,,,none,2,"['ranker', 'secrot']",
FUWAY,IAU,81.0,73.4,29.0,86.6,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
HWM,XLI,81.0,73.4,7.0,89.2,,,,,,,2.0,,,none,2,"['ranker', 'ranker_long']",Industrials
NATR,--,87.0,72.9,12.0,88.1,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
SAIA,XLI,88.0,72.7,77.0,81.6,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
NEE,XLU,89.0,72.4,,,,,,,,,5.0,,,bearish,2,"['ranker', 'stock_secrot']",Utilities
FTI,XLE,91.0,71.6,3.0,91.4,,,,,,,4.0,,,none,2,"['ranker', 'ranker_long']",Energy
FIDU,XLI,91.0,71.6,,,,,,,,4.0,,,,none,2,"['ranker', 'secrot']",
COP,XLE,91.0,71.6,38.0,85.0,,,,,,,4.0,,,none,2,"['ranker', 'ranker_long']",Energy
XLI,XLI,94.0,71.5,,,,,,,,3.6,,,,none,2,"['ranker', 'secrot']",
THC,--,96.0,71.3,8.0,89.1,,,,,,,0.0,,,none,2,"['ranker', 'ranker_long']",Healthcare
NESRF,IAU,98.0,71.2,30.0,86.0,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
FET,XLE,100.0,71.1,33.0,85.6,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
BBCA,VXUS,103.0,70.9,,,,,,,,4.5,,,,none,2,"['ranker', 'secrot']",
CAMT,XLK,104.0,70.8,120.0,78.4,,,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
CCNR,XLB,104.0,70.8,,,,,,,,3.6,,,,bearish,2,"['ranker', 'secrot']",
FIVE,XLI,109.0,70.4,120.0,78.4,,,,,,,3.0,,,bearish,2,"['ranker', 'ranker_long']",Consumer Cyclical
FRO,--,111.0,70.3,8.0,89.1,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
XPO,XLI,111.0,70.3,34.0,85.5,,,,,,,2.0,,,none,2,"['ranker', 'ranker_long']",Industrials
RAAX,IAU,113.0,70.2,,,,,,,,3.3,,,,none,2,"['ranker', 'secrot']",
IMAX,--,114.0,70.1,116.0,78.5,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
DVA,--,117.0,70.0,58.0,82.9,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
VIS,XLI,118.0,69.7,,,,,,,,3.6,,,,none,2,"['ranker', 'secrot']",
VICR,XLK,119.0,69.6,22.0,87.2,,,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
CSTM,SPY,120.0,69.3,50.0,83.4,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
ADTTF,--,121.0,69.2,116.0,78.5,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
DAN,XLB,122.0,69.1,104.0,79.5,,,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
TD,XLF,125.0,69.0,93.0,80.1,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Financial Services
AEIS,XLI,126.0,68.9,96.0,80.0,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
BKGI,VXUS,128.0,68.8,,,,,,,,4.2,,,,none,2,"['ranker', 'secrot']",
GSG,XLE,129.0,68.6,,,,,,,,3.0,,,,none,2,"['ranker', 'secrot']",
INFL,IAU,130.0,68.5,,,,,,,,4.0,,,,none,2,"['ranker', 'secrot']",
PH,XLI,134.0,68.1,114.0,78.7,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Industrials
MTRN,XLB,136.0,68.0,30.0,86.0,,,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
AEM,IAU,143.0,67.4,14.0,87.8,,,,,,,4.0,,,bearish,2,"['ranker', 'ranker_long']",Basic Materials
CLNFF,XLE,147.0,67.1,68.0,82.4,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
SGDM,--,,,58.0,82.9,,,,,,4.2,,,,none,2,"['ranker_long', 'secrot']",
PBR,--,,,77.0,81.6,,,,,,,7.0,,,none,2,"['ranker_long', 'stock_secrot']",Energy
WT,--,,,82.0,81.3,,,,,,3.3,,,,none,2,"['ranker_long', 'secrot']",
BKR,--,,,90.0,80.5,,,,,,,6.0,,,none,2,"['ranker_long', 'stock_secrot']",Energy
LMT,--,,,93.0,80.1,,,,,,,7.0,,,none,2,"['ranker_long', 'stock_secrot']",Industrials
BNO,--,,,93.0,80.1,,,,,,3.0,,,,none,2,"['ranker_long', 'secrot']",
GLW,--,,,100.0,79.6,,,,,,,6.0,,,bullish,2,"['ranker_long', 'stock_secrot']",Technology
EWY,--,,,105.0,79.4,,,,,,4.0,,,,none,2,"['ranker_long', 'secrot']",
DBO,--,,,126.0,78.0,,,,,,3.0,,,,none,2,"['ranker_long', 'secrot']",
REMX,--,,,126.0,78.0,,,,,,3.5,,,,none,2,"['ranker_long', 'secrot']",
GUNR,--,,,142.0,77.3,,,,,,3.6,,,,none,2,"['ranker_long', 'secrot']",
PSLV,--,,,,,,,,,,3.5,7.0,,,none,2,"['secrot', 'stock_secrot']",Financial Services
