symbol,current_price,return_1m,return_3m,return_12m,sortino_1m,sortino_3m,current_slope,slope_trend,slope_acceleration,status,is_accelerating,is_decelerating,trajectory,volatility_ratio,has_divergence,divergence_type,divergence_strength,days_to_peak,days_to_nadir,signal,confidence
KLIC,69.618,21.433804290947144,54.32941698071381,81.9127253723543,15.531143097868773,12.675515787573136,0.1309246956788821,0.38289929332607997,0.039511093230377846,Accelerating,True,False,V-shaped,1.035787977622652,False,,0.0,30.0,,STRONG_BUY,90
KOMP,62.75,-0.4758128469468659,2.065712426805466,24.380574826560952,-0.33313233803278525,0.5986532195268666,-0.04284999590427234,-0.006953538775769443,0.025368143928963426,Stable,False,False,V-shaped,1.2321143220862254,False,,0.0,42.0,,HOLD,50
KRE,67.195,-2.347042581020209,6.6756628036195975,8.256806830997254,-0.9525904107375098,1.384755036412656,-0.09095423924399343,0.09928079983394987,-0.014031971782169472,Stable,False,False,V-shaped,1.5464533828209355,False,,0.0,31.0,,HOLD,50
KNX,62.19,12.867513611615244,35.786026200873366,23.295003965107064,8.401455852030356,7.884691814747267,-0.015219019536317805,-0.012715457724007711,-0.01441345488193196,Stable,False,False,V-shaped,1.0732546860222802,False,,0.0,52.0,,HOLD,50
KPELY,20.62,17.359134889015372,35.65789473684211,116.36935991605459,15.714265632840974,9.882143246882691,0.14765332885002336,0.08592017143252861,0.04994142125625127,Accelerating,True,False,V-shaped,0.9188612798436606,False,,0.0,30.0,,STRONG_BUY,90
KMB,110.515,10.526052605260539,1.2784090909090828,-22.17801563270192,15.073556072837897,0.4900152066440144,0.24388642900625906,0.2138022490474849,0.04614683539414697,Accelerating,True,False,V-shaped,0.788123419139655,False,,0.0,30.0,,BUY,75
KSU,293.59,-5.58289114005468,4.302259485576232,52.895531715446275,-5.078494677603711,1.568320978599804,-0.055859158897709336,-0.03475400660108654,-0.08911587553746075,Decelerating,False,True,V-shaped,1.1606559686448497,False,,0.0,94.0,,HOLD,50
KWEB,30.435,-13.976823063877909,-18.991216396060693,-10.30061892130858,-8.74998327765376,-4.356053866154886,-0.15633541563384984,-0.04501710359834891,0.008077364549548442,Stable,False,False,V-shaped,1.078143342965138,False,,0.0,,46.0,SELL,85
LAND,12.195,9.372197309417029,30.988184747583247,6.413612565445015,5.996695175293341,8.494463069042826,0.280887253462357,0.22963138417063858,-0.02208019478192128,Stable,False,False,V-shaped,1.2495936442004918,False,,0.0,30.0,,HOLD,50
KYMR,88.5831,21.864217911679738,30.499558043606378,182.56172248803827,12.28806433700936,4.1975178877623325,-0.00345930320301566,-0.040846646737713405,0.13553565786034846,Accelerating,True,False,V-shaped,0.7886158042129916,False,,0.0,57.0,,STRONG_BUY,90
LASR,63.585,39.41021705766279,80.4853817768947,593.4023991275899,6.8256605867020905,5.905213636879026,0.03395142441882935,0.22660218035907492,0.03916244930738305,Accelerating,True,False,V-shaped,1.3510471137308875,False,,0.0,44.0,,STRONG_BUY,90
KTOS,96.0,-6.805164547131348,26.149802890932982,263.77415687760515,-1.65637878256615,2.4126063355871197,0.10354909022048361,0.13678664907574617,0.0914777869216504,Accelerating,True,False,V-shaped,1.1504300276243846,False,,0.0,30.0,,STRONG_BUY,90
LC,15.1,-10.703725606150204,-16.574585635359128,18.06098514464425,-1.968109371609209,-1.1481035984652022,-0.566373542101537,-0.36091174171942214,-0.09475952958353287,Decelerating,False,True,V-shaped,1.1181883672176536,False,,0.0,,30.0,SELL,85
LBRT,28.53,15.740365111561871,60.461192350956125,65.19976838448176,5.484671952836107,7.286066876375885,-0.21811149201419486,-0.09831176877637388,0.029349895660688283,Stable,False,False,V-shaped,1.0836154600139845,False,,0.0,30.0,,HOLD,50
KR,68.36,8.766905330151143,1.6052318668251964,5.461277383523622,6.189226262136447,0.3445259103081484,0.1484103641178222,0.11576420442531277,0.016552343946659463,Stable,False,False,V-shaped,0.9006470473879943,False,,0.0,30.0,,HOLD,50
LEA,126.795,8.28849602869588,18.10264530551415,34.902649218001926,6.200639434175343,5.1542619966736645,-0.0546950120056191,0.14430967473761974,0.01268927467189526,Stable,False,False,V-shaped,1.0572314851818871,False,,0.0,38.0,,HOLD,50
KO,80.93,8.180724502071923,10.681072210065645,13.6497682909704,11.700972754721976,4.905586625220101,0.07154147191623372,0.0695990057660204,-0.0005422135790209107,Stable,False,False,V-shaped,1.0766006536172896,False,,0.0,34.0,,HOLD,50
LDOS,177.86,-5.534310601232195,-6.928309785452635,36.84696468415789,-1.1006288051349584,-0.7724578034133168,-0.1003958037673115,-0.07513487166763354,-0.019744249802587353,Stable,False,False,V-shaped,1.632745079029217,False,,0.0,,59.0,SELL,85
LGO,1.725,38.000000000000014,74.084165909779,1.4705882352941346,5.363463001066578,5.078139625620654,1.1565128678411885,0.8605854681324151,0.07397837785134224,Accelerating,True,False,V-shaped,1.547251967212949,False,,0.0,30.0,,STRONG_BUY,90
LI,17.46,4.99098015634396,-5.057096247960846,-43.18255776114546,2.862166428720323,-1.1272495521201973,0.2555970410513815,0.35486720146399015,0.08486242817181884,Accelerating,True,False,V-shaped,1.065689090168733,False,,0.0,30.0,,HOLD,50
LEU,205.96,-25.988213310334906,-20.570767450829152,127.00319629670452,-3.3694490894912237,-1.152147727446944,-0.07354624309959058,-0.23304558506282425,0.08515536560655051,Accelerating,True,False,V-shaped,1.3549795216882463,False,,0.0,,23.0,SELL,85
LIND,19.2328,15.373725254949,59.873649210307576,72.18263205013429,7.12837597656455,11.606636370036625,0.190609547847577,0.4221568190968782,0.009276638648935397,Stable,False,False,V-shaped,1.2270977212095062,False,,0.0,30.0,,HOLD,50
LITE,724.54,84.90710494079217,122.82568581621351,930.2004834352339,23.665877017828436,8.975184389755105,-0.0062272976605836795,0.2750982474246606,0.07194611047998817,Accelerating,True,False,V-shaped,0.7557289287437019,False,,0.0,56.0,,STRONG_BUY,90
LIT,73.98,5.761258041458195,16.577371572644182,81.59057437407952,2.765825233673615,3.493963384566538,-0.09753334247712517,-0.04628694466781812,0.061398954315054544,Accelerating,True,False,V-shaped,0.9925976404154514,False,,0.0,30.0,,STRONG_BUY,90
LITM,3.05,-1.2944983818770184,-7.57575757575758,-44.13919413919414,-0.27302659856517447,-0.6156166014733704,0.09810404242554288,0.07825287480878067,0.16815395074846534,Accelerating,True,False,V-shaped,0.9603684598929269,False,,0.0,,66.0,SELL,85
LITP,13.775,6.370656370656369,12.540849673202615,126.19047619047619,1.598398942951948,1.333667699198106,-0.14030545221110466,-0.20800931429213304,0.07490687995494677,Accelerating,True,False,V-shaped,0.9149381112813858,False,,0.0,30.0,,STRONG_BUY,90
LMND,51.8224,-40.248587570621474,-33.66308243727598,42.56506189821183,-8.901168569851395,-2.7632585142476023,-1.0586841999261798,-0.5991518917560363,-0.24159990622811106,Decelerating,False,True,V-shaped,1.1234441785508473,False,,0.0,,30.0,SELL,85
LH,286.525,5.526296405421327,6.602053724235435,14.135197578075198,3.275561577561724,1.9590208749582478,0.1777152047977054,0.15296565325349717,0.01937744846099617,Stable,False,False,V-shaped,1.469720335666856,False,,0.0,30.0,,HOLD,50
LIN,507.6528,11.091056305665582,23.721193215051663,8.693458944438493,19.67536381902836,6.694868471192342,0.273671475027026,0.2605490954040599,0.03550010756119053,Accelerating,True,False,V-shaped,0.46495579363791806,False,,0.0,30.0,,STRONG_BUY,90
