ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
TPR,XLF,15.0,89.6,119.0,79.7,,,,,,,2.0,bearish,2,"['ranker', 'ranker_long']",Consumer Cyclical
AEIS,XLK,17.0,89.2,105.0,80.8,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
LITE,--,17.0,89.2,17.0,88.2,,,,,,,2.0,bullish,2,"['ranker', 'ranker_long']",Technology
TERN,--,19.0,88.8,67.0,83.8,,,,,,,,none,2,"['ranker', 'ranker_long']",
NBTX,--,21.0,87.7,98.0,81.1,,,,,,,,none,2,"['ranker', 'ranker_long']",
VICR,XLK,22.0,87.5,13.0,89.4,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
ATI,XLI,23.0,87.3,5.0,92.7,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Industrials
SNDK,XLK,28.0,86.5,,,,,,,,,6.0,bullish,2,"['ranker', 'stock_secrot']",Technology
LUNMF,IAU,29.0,86.3,11.0,89.8,,,,,,,,none,2,"['ranker', 'ranker_long']",
JNJ,XLV,31.0,86.0,63.0,84.2,,,,,,,2.0,none,2,"['ranker', 'ranker_long']",Healthcare
NATR,--,34.0,85.1,24.0,87.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
GDMN,IAU,35.0,85.0,,,,,,,,6.5,,none,2,"['ranker', 'secrot']",
WWD,XLI,36.0,84.7,6.0,91.4,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Industrials
TEN,--,36.0,84.7,71.0,83.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
AEM,IAU,38.0,84.6,12.0,89.6,,,,,,,4.0,bullish,2,"['ranker', 'ranker_long']",Basic Materials
HWM,XLI,41.0,84.3,19.0,88.0,,,,,,,2.0,none,2,"['ranker', 'ranker_long']",Industrials
AMG,--,44.0,84.0,,,,,,,,5.1,,none,2,"['ranker', 'secrot']",
GLW,XLK,44.0,84.0,,,,,,,,,6.0,bullish,2,"['ranker', 'stock_secrot']",Technology
FET,XLE,47.0,83.8,79.0,82.8,,,,,,,,none,2,"['ranker', 'ranker_long']",
KLIC,XLI,48.0,83.6,74.0,83.3,,,,,,,,none,2,"['ranker', 'ranker_long']",
NESRF,IAU,49.0,83.2,98.0,81.1,,,,,,,,none,2,"['ranker', 'ranker_long']",
EVRG,XLU,51.0,82.9,141.0,78.6,,,,,,,1.0,bearish,2,"['ranker', 'ranker_long']",Utilities
AEP,XLU,52.0,82.8,121.0,79.6,,,,,,,1.0,bearish,2,"['ranker', 'ranker_long']",Utilities
ASX,XLK,54.0,82.7,116.0,79.9,,,,,,,4.0,bullish,2,"['ranker', 'ranker_long']",Technology
INSW,XLV,57.0,81.7,41.0,85.8,,,,,,,,none,2,"['ranker', 'ranker_long']",
MTRN,XLB,59.0,81.6,55.0,84.6,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
NMM,IAU,60.0,81.4,89.0,81.7,,,,,,,,none,2,"['ranker', 'ranker_long']",
HAL,XLE,60.0,81.4,,,,,,,,,6.0,none,2,"['ranker', 'stock_secrot']",Energy
NYT,XLC,62.0,81.3,113.0,80.4,,,,,,,4.0,none,2,"['ranker', 'ranker_long']",Communication Services
SSRM,IAU,63.0,81.2,58.0,84.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
MARUY,VXUS,66.0,80.8,16.0,88.7,,,,,,,,none,2,"['ranker', 'ranker_long']",
GOLY,IAU,68.0,80.7,,,,,,,,4.0,,none,2,"['ranker', 'secrot']",
FIX,XLK,69.0,80.6,134.0,78.9,,,,,,,4.0,bullish,2,"['ranker', 'ranker_long']",Industrials
ORLA,IAU,72.0,79.8,10.0,90.1,,,,,,,,none,2,"['ranker', 'ranker_long']",
SDVKY,VXUS,74.0,79.6,106.0,80.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
CSTM,SPY,82.0,78.5,141.0,78.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
RTX,XLI,85.0,78.3,119.0,79.7,,,,,,,4.0,none,2,"['ranker', 'ranker_long']",Industrials
ESE,XLI,86.0,78.2,146.0,78.5,,,,,,,,none,2,"['ranker', 'ranker_long']",
CTRE,TLT,89.0,77.5,93.0,81.4,,,,,,,,none,2,"['ranker', 'ranker_long']",
POWL,XLI,91.0,77.3,22.0,87.6,,,,,,,,none,2,"['ranker', 'ranker_long']",
VIV,--,92.0,77.0,,,,,,,,,5.0,none,2,"['ranker', 'stock_secrot']",Communication Services
DAN,XLB,95.0,76.6,106.0,80.6,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
FAN,VGK,96.0,76.5,,,,,,,,3.2,,none,2,"['ranker', 'secrot']",
BKD,--,100.0,76.0,93.0,81.4,,,,,,,,none,2,"['ranker', 'ranker_long']",
XAR,XLI,101.0,75.8,,,,,,,,3.0,,none,2,"['ranker', 'secrot']",
ITA,XLI,103.0,75.3,,,,,,,,3.6,,none,2,"['ranker', 'secrot']",
THC,--,103.0,75.3,41.0,85.8,,,,,,,0.0,none,2,"['ranker', 'ranker_long']",Healthcare
XOM,XLE,108.0,75.0,128.0,79.1,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Energy
ASC,--,109.0,74.9,126.0,79.2,,,,,,,,none,2,"['ranker', 'ranker_long']",
KPELY,--,109.0,74.9,7.0,91.2,,,,,,,,none,2,"['ranker', 'ranker_long']",
FLMX,VXUS,111.0,74.6,,,,,,,,4.0,,none,2,"['ranker', 'secrot']",
AIRR,XLI,111.0,74.6,,,,,,,,3.6,,none,2,"['ranker', 'secrot']",
EWW,IAU,111.0,74.6,,,,,,,,4.3,,none,2,"['ranker', 'secrot']",
PH,XLI,114.0,74.5,141.0,78.6,,,,,,,3.0,none,2,"['ranker', 'ranker_long']",Industrials
FLBR,VXUS,116.0,74.3,,,,,,,,2.0,,none,2,"['ranker', 'secrot']",
JCI,XLI,117.0,74.2,110.0,80.5,,,,,,,2.0,none,2,"['ranker', 'ranker_long']",Industrials
PPA,XLI,117.0,74.2,,,,,,,,2.6,,none,2,"['ranker', 'secrot']",
FDT,VXUS,120.0,73.9,,,,,,,,3.9,,none,2,"['ranker', 'secrot']",
MISL,XLI,122.0,73.7,,,,,,,,3.9,,none,2,"['ranker', 'secrot']",
PICK,IAU,124.0,73.4,,,,,,,,4.3,,none,2,"['ranker', 'secrot']",
EQX,IAU,128.0,73.3,77.0,83.0,,,,,,,,none,2,"['ranker', 'ranker_long']",
BVN,IAU,130.0,73.0,1.0,94.1,,,,,,,,none,2,"['ranker', 'ranker_long']",
TJX,--,130.0,73.0,78.0,82.9,,,,,,,1.0,bearish,2,"['ranker', 'ranker_long']",Consumer Cyclical
AG,IAU,130.0,73.0,31.0,87.0,,,,,,,,none,2,"['ranker', 'ranker_long']",
FIDU,XLI,133.0,72.9,,,,,,,,3.1,,none,2,"['ranker', 'secrot']",
DGX,XLRE,133.0,72.9,106.0,80.6,,,,,,,2.0,bullish,2,"['ranker', 'ranker_long']",Healthcare
GTX,XLB,133.0,72.9,126.0,79.2,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
FRDM,VXUS,136.0,72.8,,,,,,,,2.6,,none,2,"['ranker', 'secrot']",
ICOW,VXUS,136.0,72.8,,,,,,,,3.0,,none,2,"['ranker', 'secrot']",
TRV,--,138.0,72.6,141.0,78.6,,,,,,,1.0,none,2,"['ranker', 'ranker_long']",Financial Services
RODM,VGK,138.0,72.6,,,,,,,,2.8,,none,2,"['ranker', 'secrot']",
VPL,VXUS,138.0,72.6,,,,,,,,2.8,,none,2,"['ranker', 'secrot']",
STLD,XLB,143.0,72.4,101.0,80.9,,,,,,,2.0,bullish,2,"['ranker', 'ranker_long']",Basic Materials
AVDV,VXUS,147.0,72.1,,,,,,,,2.8,,none,2,"['ranker', 'secrot']",
RAAX,IAU,147.0,72.1,,,,,,,,2.5,,none,2,"['ranker', 'secrot']",
ISSC,QQQ,149.0,71.9,61.0,84.4,,,,,,,,bullish,2,"['ranker', 'ranker_long']",
VIS,XLI,150.0,71.8,,,,,,,,3.3,,none,2,"['ranker', 'secrot']",
SGDM,--,,,32.0,86.9,,,,,,4.1,,none,2,"['ranker_long', 'secrot']",
NOC,--,,,38.0,86.2,,,,,,,7.0,none,2,"['ranker_long', 'stock_secrot']",Industrials
GLD,--,,,45.0,85.4,,,,,,3.2,,none,2,"['ranker_long', 'secrot']",
IAU,--,,,45.0,85.4,,,,,,3.2,,none,2,"['ranker_long', 'secrot']",
SGOL,--,,,45.0,85.4,,,,,,3.2,,none,2,"['ranker_long', 'secrot']",
GDX,--,,,45.0,85.4,,,,,,3.3,,none,2,"['ranker_long', 'secrot']",
GDXJ,--,,,49.0,85.3,,,,,,3.4,,none,2,"['ranker_long', 'secrot']",
DXJ,--,,,51.0,85.0,,,,,,2.5,,none,2,"['ranker_long', 'secrot']",
BG,--,,,53.0,84.8,,,,,,,6.0,bearish,2,"['ranker_long', 'stock_secrot']",Consumer Defensive
RING,--,,,54.0,84.7,,,,,,4.0,,none,2,"['ranker_long', 'secrot']",
SLVP,--,,,72.0,83.4,,,,,,3.7,,none,2,"['ranker_long', 'secrot']",
SIL,--,,,72.0,83.4,,,,,,3.7,,none,2,"['ranker_long', 'secrot']",
PAAS,--,,,81.0,82.7,,,,,,,7.0,bullish,2,"['ranker_long', 'stock_secrot']",Basic Materials
PBR,--,,,83.0,82.2,,,,,,,7.0,none,2,"['ranker_long', 'stock_secrot']",Energy
SGDJ,--,,,88.0,81.9,,,,,,4.1,,none,2,"['ranker_long', 'secrot']",
BNO,--,,,89.0,81.7,,,,,,0.7,,none,2,"['ranker_long', 'secrot']",
WT,--,,,97.0,81.2,,,,,,6.6,,none,2,"['ranker_long', 'secrot']",
SILJ,--,,,98.0,81.1,,,,,,3.8,,none,2,"['ranker_long', 'secrot']",
EPU,--,,,101.0,80.9,,,,,,4.4,,none,2,"['ranker_long', 'secrot']",
RGLD,--,,,101.0,80.9,,,,,,,5.0,bullish,2,"['ranker_long', 'stock_secrot']",Basic Materials
CDE,--,,,116.0,79.9,,,,,,,7.0,bullish,2,"['ranker_long', 'stock_secrot']",Basic Materials
GUNR,--,,,125.0,79.3,,,,,,3.1,,none,2,"['ranker_long', 'secrot']",
GFI,--,,,133.0,79.0,,,,,,,5.0,bullish,2,"['ranker_long', 'stock_secrot']",Basic Materials
PSLV,--,,,,,,,,,,3.8,7.0,none,2,"['secrot', 'stock_secrot']",Financial Services
