ticker,price,ret_1m,ret_3m,ret_6m,ret_1y,ret_5y,ret_10y,ratio_3m_1m,ratio_6m_3m,ratio_1y_6m,ratio_5y_1y,ratio_10y_5y,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1y,vs_spy_5y,vs_spy_10y,vs_qqq_1y,vs_qqq_5y,vs_qqq_10y,vs_iau_1y,vs_iau_5y,vs_iau_10y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,strong_flag,score_returns,score_ratios,score_spy_days,history_depth,score_depth,score,rank
SMHX,44.09,18.97,12.27,17.95,104.97,,,0.65,1.46,5.85,,,1,True,True,True,True,True,72.59,,,64.09,,,52.53,,,-2.1175,XLK,0.92,1.59,clean,0.738,thin,none,none,78.09935933460717,15.027537372147915,16.28638867033832,4,66.66666666666666,49.7,1081
SKYY,109.3,-2.1,-16.16,-17.68,14.02,10.48,272.91,7.68,1.09,-0.79,0.75,26.04,2,False,False,False,False,False,-18.36,-60.32,32.81,-26.86,-79.07,-204.42,-38.43,-164.99,-10.84,-1.6062,XLK,0.74,-0.34,clean,1.21,normal,none,none,15.527705968303922,41.935483870967744,32.41542092840283,6,100.0,49.5,1082
CUK,28.6,19.87,-8.77,13.22,80.78,16.5,-45.97,-0.44,-1.51,6.11,0.2,-2.79,1,True,True,True,True,True,48.4,-54.3,-286.07,39.9,-73.06,-523.3,28.33,-158.97,-329.72,-2.7218,XLI,0.6,1.05,clean,1.344,normal,none,none,51.399348094863434,15.027537372147915,5.586152635719905,6,100.0,49.5,1082
NUKZ,71.48,5.8,3.09,5.71,92.36,,,0.53,1.85,16.18,,,2,True,True,True,True,True,59.97,,,51.47,,,39.91,,,-1.7966,XLK,0.77,0.11,clean,0.521,thin,none,none,53.017871192536816,41.935483870967744,25.649095200629425,4,66.66666666666666,49.4,1084
INTU,366.8,-16.63,-42.28,-42.85,-36.48,-8.54,253.03,2.54,1.01,0.85,0.23,-29.63,1,False,False,False,False,False,-68.87,-79.34,12.93,-77.37,-98.09,-224.3,-88.93,-184.01,-30.72,-0.7583,XLF,0.32,-1.14,clean,1.124,normal,none,none,5.189015023790791,15.027537372147915,74.03619197482297,6,100.0,49.4,1084
NET,178.65,-15.91,-4.15,-16.45,69.34,155.03,,0.26,3.96,-4.22,2.24,,2,False,False,False,False,False,36.95,84.23,,28.45,65.48,,16.89,-20.44,,-1.486,XLK,0.45,-1.45,clean,1.206,normal,none,none,28.372859765464018,41.935483870967744,37.49016522423288,5,83.33333333333334,49.4,1084
BAX,17.59,1.09,-12.7,-19.86,-37.49,-79.23,-57.42,-11.63,1.56,1.89,2.11,0.72,3,True,False,False,False,False,-69.88,-150.03,-297.52,-78.38,-168.78,-534.75,-89.94,-254.7,-341.17,-3.0807,XLB,0.51,0.6,clean,0.927,normal,none,none,11.94784758907497,75.13768686073958,3.540519276160504,6,100.0,49.3,1087
CLOU,18.18,-7.48,-20.12,-20.23,-7.15,-31.37,,2.69,1.01,0.35,4.39,,2,False,False,False,False,False,-39.53,-102.17,,-48.03,-120.92,,-59.6,-206.84,,-1.0826,XLK,0.49,-0.96,clean,1.436,normal,none,none,10.705855906485331,41.935483870967744,62.39181746656176,5,83.33333333333334,49.1,1088
UUUU,19.54,4.66,1.45,-3.93,415.57,208.2,826.07,0.31,-2.71,-105.66,0.5,3.97,1,True,False,True,True,False,383.18,137.4,585.96,374.68,118.65,348.73,363.12,32.73,542.31,-2.4573,IAU,0.45,-0.41,clean,0.632,thin,none,none,47.93750702483984,15.027537372147915,8.81195908733281,6,100.0,49.1,1088
SHLD,74.33,-1.69,-2.65,9.23,55.34,,,1.56,-3.49,6.0,,,1,False,True,True,True,False,22.96,,,14.45,,,2.89,,,-0.839,XLI,0.58,-0.8,clean,1.132,normal,none,none,39.427147727698475,15.027537372147915,71.28245476003147,4,66.66666666666666,49.1,1088
RIOT,18.12,29.06,10.15,-13.76,166.86,-62.54,500.0,0.35,-1.35,-12.13,-0.37,-8.0,0,True,True,True,True,True,134.48,-133.34,259.9,125.98,-152.09,22.67,114.41,-238.01,216.25,-5.1491,XLK,0.64,0.99,clean,0.847,normal,none,none,61.54321681465662,2.4390243902439024,0.23603461841070023,6,100.0,49.0,1091
SPRX,42.99,14.55,3.32,5.45,121.83,,,0.23,1.64,22.37,,,2,True,True,True,True,True,89.44,,,80.94,,,69.38,,,-2.796,XLK,0.84,0.8,clean,0.709,thin,none,none,65.19800681877786,41.935483870967744,5.114083398898505,4,66.66666666666666,49.0,1091
CDNS,292.37,1.86,-10.18,-10.59,15.1,105.09,1144.13,-5.47,1.04,-1.43,6.96,10.89,2,True,True,False,False,False,-17.29,34.28,904.02,-25.79,15.53,666.79,-37.35,-70.38,860.37,-2.2562,XLK,0.58,0.06,clean,0.992,normal,none,none,26.51830204937994,41.935483870967744,13.060582218725415,6,100.0,49.0,1091
WOOD,72.39,2.71,-4.54,4.9,4.7,-18.73,60.4,-1.67,-1.08,0.96,-3.98,-3.23,0,True,False,False,False,False,-27.68,-89.53,-179.7,-36.18,-108.28,-416.93,-47.75,-194.2,-223.35,-1.1845,XLB,0.77,0.61,clean,0.674,thin,none,none,24.154209284028326,2.4390243902439024,56.56963021243116,6,100.0,49.0,1091
WAL,77.61,14.18,-11.26,3.58,22.74,-15.71,133.62,-0.79,-0.32,6.36,-0.69,-8.51,1,True,False,False,False,False,-9.64,-86.51,-106.48,-18.14,-105.26,-343.71,-29.71,-191.17,-150.13,-1.9039,XLF,0.71,1.21,clean,0.998,normal,none,none,38.544827844591815,15.027537372147915,21.71518489378442,6,100.0,48.9,1095
URNM,66.43,4.09,1.45,7.75,121.06,117.8,,0.35,5.34,15.61,0.97,,2,True,False,True,True,False,88.68,47.0,,80.18,28.25,,68.62,-57.66,,-2.8179,XLK,0.54,-0.14,clean,0.768,normal,none,none,48.35899741485894,41.935483870967744,5.035405192761605,5,83.33333333333334,48.9,1095
GIS,34.7,-11.88,-20.19,-29.67,-39.3,-43.48,-46.02,1.7,1.47,1.32,1.11,1.06,0,False,False,False,False,False,-71.69,-114.28,-286.12,-80.19,-133.03,-523.35,-91.75,-218.94,-329.77,-0.2019,XLP,0.61,-1.44,clean,1.378,normal,none,none,3.9039376568880897,2.4390243902439024,86.38867033831629,6,100.0,48.9,1095
MOS,23.94,-18.32,-6.92,-21.12,-1.07,-22.27,-5.64,0.38,3.05,0.05,20.73,0.25,2,False,False,False,False,False,-33.46,-93.07,-245.74,-41.96,-111.83,-482.97,-53.52,-197.74,-289.39,-1.4666,XLB,0.49,-1.49,clean,1.348,normal,none,none,9.115432168146565,41.935483870967744,38.31628638867034,6,100.0,48.8,1098
TFPM,35.81,-0.22,-0.89,19.37,73.75,,,3.97,-21.87,3.81,,,2,True,False,True,True,False,41.37,,,32.87,,,21.3,,,-1.6427,IAU,0.76,-0.62,clean,1.012,normal,none,none,47.20505039151774,41.935483870967744,31.07789142407553,4,66.66666666666666,48.8,1098
RSMDF,24.89,13.34,2.94,0.44,-14.2,35.64,324.74,0.22,0.15,-31.99,-2.51,9.11,1,True,False,False,True,False,-46.59,-35.16,84.64,-55.09,-53.91,-152.59,-66.65,-139.83,40.99,-2.3148,,,0.47,clean,,normal,none,none,44.95522835412686,15.027537372147915,11.723052714398111,6,100.0,48.8,1098
DB,33.67,16.26,-14.52,-2.58,56.6,170.01,111.36,-0.89,0.18,-21.98,3.0,0.66,1,True,True,False,False,False,24.22,99.21,-128.74,15.72,80.45,-365.97,4.16,-5.46,-172.39,-2.5368,VGK,0.75,1.31,clean,1.2,normal,none,none,47.6939792439399,15.027537372147915,7.474429583005507,6,100.0,48.8,1098
MMM,152.55,1.05,-9.16,2.55,14.73,-6.41,10.04,-8.7,-0.28,5.76,-0.43,-1.57,1,True,False,False,False,False,-17.66,-77.21,-230.06,-26.16,-95.96,-467.29,-37.72,-181.87,-273.71,-1.3387,XLB,0.53,0.14,clean,0.943,normal,none,none,20.943389157393874,15.027537372147915,46.813532651455546,6,100.0,48.7,1102
NUDM,38.72,7.08,3.7,3.64,29.24,25.76,,0.52,0.98,8.03,0.88,,1,True,True,True,True,True,-3.15,-45.05,,-11.65,-63.8,,-23.21,-149.71,,-1.4557,VGK,0.83,1.31,clean,1.033,normal,none,none,43.05383837248511,15.027537372147915,38.78835562549174,5,83.33333333333334,48.7,1102
CXSE,40.11,3.22,-6.68,-2.39,34.42,-38.48,74.39,-2.08,0.36,-14.43,-1.12,-1.93,0,True,True,False,False,False,2.03,-109.28,-165.71,-6.47,-128.04,-402.94,-18.03,-213.95,-209.36,-1.2269,VXUS,0.73,0.33,clean,0.403,thin,none,none,24.689970402008168,2.4390243902439024,54.05192761605036,6,100.0,48.7,1102
WDAY,117.86,-11.44,-43.31,-49.46,-47.56,-53.22,50.85,3.78,1.14,0.96,1.12,-0.96,1,False,False,False,False,False,-79.94,-124.02,-189.25,-88.44,-142.77,-426.48,-100.01,-228.69,-232.9,-0.7441,XLF,0.37,-0.68,clean,1.237,normal,none,none,2.61136712749616,15.027537372147915,74.58693941778127,6,100.0,48.7,1102
AVAV,194.52,-6.06,-47.52,-50.41,39.97,71.58,605.29,7.84,1.06,-0.79,1.79,8.46,2,False,False,False,False,False,7.59,0.78,365.19,-0.91,-17.97,127.96,-12.48,-103.89,321.54,-1.7935,SPY,0.37,-0.5,clean,0.868,normal,none,none,17.013225431793487,41.935483870967744,25.727773406766325,6,100.0,48.6,1106
PNR,90.81,2.85,-11.9,-15.3,12.33,47.66,163.29,-4.17,1.29,-0.81,3.86,3.43,2,True,False,False,False,False,-20.05,-23.14,-76.81,-28.55,-41.9,-314.04,-40.12,-127.81,-120.46,-2.1148,SPY,0.54,0.36,clean,0.931,normal,none,none,22.98902251695328,41.935483870967744,16.36506687647522,6,100.0,48.6,1106
AVY,170.85,0.05,-9.11,7.68,2.56,-10.36,137.09,-194.42,-0.84,0.33,-4.04,-13.23,0,False,False,False,False,False,-29.82,-81.16,-103.01,-38.32,-99.92,-340.24,-49.89,-185.83,-146.66,-1.1578,XLB,0.54,0.05,clean,0.888,normal,none,none,21.773256903075943,2.4390243902439024,57.82848151062156,6,100.0,48.6,1106
MISL,47.73,1.83,-2.13,12.94,59.69,,,-1.16,-6.07,4.61,,,1,True,False,True,True,False,27.3,,,18.8,,,7.24,,,-1.136,XLI,0.8,-0.28,clean,0.383,thin,none,none,45.18376981004833,15.027537372147915,59.48072383949646,4,66.66666666666666,48.5,1109
DIS,102.59,3.32,-9.07,-6.04,20.37,-45.3,5.76,-2.73,0.67,-3.37,-2.22,-0.13,0,True,True,False,False,False,-12.02,-116.1,-234.34,-20.52,-134.86,-471.57,-32.08,-220.77,-277.99,-1.1459,XLF,0.47,0.3,clean,0.958,normal,none,none,20.859091079390055,2.4390243902439024,58.77261998426436,6,100.0,48.5,1109
HD,342.71,1.09,-8.6,-8.79,-3.09,9.68,154.65,-7.92,1.02,0.35,-3.14,15.98,1,True,False,False,False,False,-35.47,-61.12,-85.45,-43.97,-79.88,-322.68,-55.53,-165.79,-129.1,-1.3012,XLY,0.58,0.24,clean,0.994,normal,none,none,19.10007118504365,15.027537372147915,48.93784421715185,6,100.0,48.5,1109
LUV,41.26,6.48,-5.91,31.86,59.98,-35.04,-5.43,-0.91,-5.39,1.88,-0.58,0.16,1,True,False,False,True,False,27.6,-105.85,-245.54,19.1,-124.6,-482.76,7.54,-210.51,-289.19,-2.2505,XLI,0.53,0.24,clean,0.82,normal,none,none,42.41879285152298,15.027537372147915,13.217938630999212,6,100.0,48.4,1112
UAL,97.2,12.24,-15.69,0.55,54.9,63.17,74.88,-1.28,-0.03,100.14,1.15,1.19,1,True,False,False,False,False,22.52,-7.63,-165.22,14.02,-26.38,-402.45,2.45,-112.3,-208.87,-2.2675,SPY,0.63,0.79,clean,1.258,normal,none,none,43.01449926941666,15.027537372147915,12.509834775767112,6,100.0,48.4,1112
PBW,34.38,6.74,-0.43,9.88,142.97,-63.6,72.76,-0.06,-22.73,14.48,-0.44,-1.14,1,True,True,True,True,True,110.58,-134.4,-167.34,102.08,-153.15,-404.57,90.52,-239.06,-210.99,-2.2554,XLK,0.7,0.06,clean,0.745,thin,none,none,42.24457682364842,15.027537372147915,13.139260424862313,6,100.0,48.3,1114
BAI,39.61,19.31,13.79,15.89,89.43,,,0.71,1.15,5.63,,,1,True,True,True,True,True,57.05,,,48.55,,,36.98,,,-2.4037,XLK,0.93,1.96,clean,1.556,confirmed,none,none,77.67224907272114,15.027537372147915,9.67741935483871,4,66.66666666666666,48.2,1115
HOMZ,44.43,2.78,-8.03,0.02,9.16,14.95,,-2.89,-0.0,407.09,1.63,,1,True,False,False,False,False,-23.22,-55.85,,-31.72,-74.6,,-43.28,-160.51,,-1.1031,XLB,0.73,0.56,clean,0.743,thin,none,none,26.46023004008842,15.027537372147915,61.21164437450825,5,83.33333333333334,48.2,1115
ALHC,21.28,25.25,0.0,22.93,7.58,-2.25,,0.0,,0.33,-0.3,,0,True,True,True,True,True,-24.8,-73.05,,-33.3,-91.81,,-44.87,-177.72,,-1.6685,XLF,0.34,1.76,clean,1.247,normal,none,none,55.87276610093289,2.4390243902439024,29.81904012588513,5,83.33333333333334,48.2,1115
RKLB,72.22,5.57,-17.84,12.39,267.91,569.94,,-3.2,-0.69,21.63,2.13,,2,True,True,True,True,True,235.52,499.14,,227.02,480.39,,215.46,394.48,,-3.5714,XLK,0.58,-0.32,clean,1.133,normal,none,none,48.3215316024128,41.935483870967744,1.730920535011802,5,83.33333333333334,48.2,1115
CG,51.19,12.16,-22.22,-8.8,39.75,34.71,219.54,-1.83,0.4,-4.52,0.87,6.32,1,True,True,False,False,False,7.36,-36.09,-20.57,-1.14,-54.84,-257.79,-12.7,-140.76,-64.22,-1.9876,XLF,0.72,0.76,clean,1.012,normal,none,none,37.664381252107454,15.027537372147915,19.11880409126672,6,100.0,48.1,1119
